bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal,is_cs
NieuweStroom,nieuwestroom.nl,geraden en bevestigd,Medewerker Customer Operations,2026-09-17,Maastricht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-operations-at-nieuwestroom-4468605295,klantenservice medewerker,ok,,,,hubspot|chatgpt-bot,,,ja,0,,,6211 XX,+31889968686,,ja
Nilfisk,nilfisk-shop.nl,geraden en bevestigd,Customer Service Employee,2026-09-05,Almere,1,nee,https://nl.linkedin.com/jobs/view/customer-service-employee-at-nilfisk-4463724526,klantenservice medewerker,ok,woocommerce,,,,trustedshops,ja,,4,,70246920,1274 SH,+31355231705,,
NORNORM,nornorm.com,geraden en bevestigd,Customer Success Coordinator,2026-08-28,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/customer-success-coordinator-at-nornorm-4460356148,customer happiness,ok,,,7,,,,,0,,,,,,ja
Notuly.,notuly.nl,geraden en bevestigd,Customer succes &amp; support medewerker,2026-08-26,Deventer,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-support-medewerker-at-notuly-4459189122,customer happiness,ok,,,,,,,,0,,,,,,ja
Nutanix,nutanix.com,geraden en bevestigd,"Senior Staff Customer Experience Manager, Dutch speaker",2026-09-09,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/senior-staff-customer-experience-manager-dutch-speaker-at-nutanix-4461295968,customer happiness,ok,,,14,,,,,0,demo aanvragen|api[- ]documen,,,,,ja
Octiva,octiva.tech,geraden en bevestigd,Head of Customer Success,2026-05-04,Breda,2,nee,https://nl.linkedin.com/jobs/view/head-of-customer-success-at-octiva-4420942347,customer happiness,ok,,,,,,,,0,api[- ]documen,,4815PK,,,
Oerlemans Plastics,oerlemansplastics.nl,geraden en bevestigd,Commercieel Medewerker Binnendienst,2026-09-15,Giessen,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-oerlemans-plastics-4465915916,orderverwerking medewerker,ok,,,3,,,,ja,0,,,4283 GX,0031416358100,,
OH Solutions,oh-solutions.nl,geraden en bevestigd,Customer Experience Specialist,2026-09-11,Almere,2,nee,https://nl.linkedin.com/jobs/view/customer-experience-specialist-at-oh-solutions-4440950989,customer happiness,ok,,,,,,,,0,,,,,,ja
Olsam.,olsam.com,geraden en bevestigd,Avenir Collective - Account Manager (Bol.com),2026-09-15,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/avenir-collective-account-manager-bol-com-at-olsam-4467781920,e-commerce medewerker,ok,,,,,trustpilot,,,0,,,,+1 781-281-9475,,
Olyslager,olyslager.nl,geraden en bevestigd,Customer Success Manager,2026-09-18,Bunschoten-Spakenburg,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-olyslager-4430926312,customer happiness,ok,,,,,,,,0,,,,,,ja
ON THAT ASS,onthatass.com,geraden en bevestigd,Junior Affiliate Marketeer,2026-09-15,Rosmalen,1,nee,https://nl.linkedin.com/jobs/view/junior-affiliate-marketeer-at-on-that-ass-4467499479,e-commerce medewerker,ok,,,19,chatgpt-bot,,,,1,,,,,,
Online Payment Platform,onlinepaymentplatform.com,geraden en bevestigd,Customer Support Medewerker,2026-09-14,Delft,1,nee,https://nl.linkedin.com/jobs/view/customer-support-medewerker-at-online-payment-platform-4466106901,support medewerker webshop,ok,,,6,,loox,,,0,,,,,,ja
Onlineverf.nl,onlineverf.nl,geraden en bevestigd,Medewerker klantenservice,2026-09-11,Hengelo,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-onlineverf-nl-4466058358,klantenservice medewerker,ok,,,3,whatsapp,trustpilot|trustedshops,ja,,4,,,,0851120202,,ja
OPENRED,openred.nl,geraden en bevestigd,Customer Succes Lead,2026-08-13,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-lead-at-openred-4453604681,customer happiness,ok,,,,hubspot,,,,0,demo aanvragen|api[- ]documen,,3182CE,,,
Operai,operai.eu,geraden en bevestigd,Marketplace Seller Account Manager (English),2026-07-12,Eindhoven Area,2,nee,https://nl.linkedin.com/jobs/view/marketplace-seller-account-manager-english-at-operai-4438950843,e-commerce medewerker,ok,,,,,,,ja,0,api[- ]documen,,3528 AG,,,
OrbusNeich Medical Company Ltd.,orbusneich.com,geraden en bevestigd,Customer Relations Coordinator,2026-09-22,Hoevelaken,1,nee,https://nl.linkedin.com/jobs/view/customer-relations-coordinator-at-orbusneich-medical-company-ltd-4470286316,customer happiness,ok,,,4,,,,,0,,,3871 AN,,,ja
Organic Assistance,organicassistance.com,geraden en bevestigd,Customer Service en Sales Assistant,2026-08-19,Barneveld,2,nee,https://nl.linkedin.com/jobs/view/customer-service-en-sales-assistant-at-organic-assistance-4455414024,orderverwerking medewerker,ok,,,,,,,,0,,,,,,
OT design BV,otdesign.com,geraden en bevestigd,Junior accountmanager,2026-09-10,Nieuwegein,1,nee,https://nl.linkedin.com/jobs/view/junior-accountmanager-at-ot-design-bv-4465682951,e-commerce medewerker,ok,,,3,,,,,0,api[- ]documen,,3439 MC,,,
Oxford Global Resources,oxfordglobal.com,geraden en bevestigd,"Klantenservice Medewerker - Frans, Nederlands, Engels",2026-08-31,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-frans-nederlands-engels-at-oxford-global-resources-4459792285,klantenservice medewerker,ok,,,,hubspot,,,,0,api[- ]documen,,,+441865248455,,ja
Palo Alto Networks,paloaltonetworks.com,geraden en bevestigd,Staff Customer Success Engineer,2026-09-18,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/staff-customer-success-engineer-at-palo-alto-networks-4466683134,customer happiness,ok,,,18,,,,,0,,,,,,
Paul Roescher,paulroescher.nl,geraden en bevestigd,Medewerker Service Desk,2026-08-05,Rijssen,2,nee,https://nl.linkedin.com/jobs/view/medewerker-service-desk-at-paul-roescher-4448995292,orderverwerking medewerker,ok,shopify,951,,,klantenvertellen,ja,,0,boek een kamer,,,,,ja
Pensify,pensify.com,geraden en bevestigd,Customer Success Manager,2026-09-10,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-pensify-4465684096,customer happiness,ok,,,,,,,,0,onze dienstver,42135991,1016 DV,,,ja
Permobil,permobil.com,geraden en bevestigd,Customer Support Representative,2026-09-06,Oisterwijk,1,nee,https://nl.linkedin.com/jobs/view/customer-support-representative-at-permobil-4400388875,klantenservice medewerker,ok,,,,intercom|chatgpt-bot,,,,0,,,1080 HD,,,ja
PGGM,pggm.nl,geraden en bevestigd,Klantcontact medewerker klantcontact BPF Schilders,2026-09-17,Zeist,1,nee,https://nl.linkedin.com/jobs/view/klantcontact-medewerker-klantcontact-bpf-schilders-at-pggm-4468602316,klantenservice medewerker,ok,,,,,,,,0,,,3700 AC,,,ja
PharmaPartners,pharmapartners.nl,geraden en bevestigd,Customer Care Specialist,2026-09-19,Oosterhout,1,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-at-pharmapartners-4455856177,klantenservice medewerker,ok,,,,,,,,0,,,,,,ja
PinkRoccade Local Government,pinkroccadelocalgovernment.nl,geraden en bevestigd,Manager Customer Care Samenlevingszaken (lid MT),2026-09-21,s-Hertogenbosch Area,1,nee,https://nl.linkedin.com/jobs/view/manager-customer-care-samenlevingszaken-lid-mt-at-pinkroccade-local-government-4468750854,customer happiness,ok,,,,,,,,0,api[- ]documen,,2026 AI,088 110 1500,,ja
Platform Control,platformcontrol.com,geraden en bevestigd,Brand manager / Marketplace specialist | bol &amp; Amazon - Full Time,2026-09-17,Dordrecht,2,nee,https://nl.linkedin.com/jobs/view/brand-manager-marketplace-specialist-bol-amazon-full-time-at-platform-control-4468354731,e-commerce medewerker,ok,,,5,,,,,0,api[- ]documen|onze dienstver,83678638,1863DC,+31850805350,,
Plieger,plieger.nl,geraden en bevestigd,IT Support Medewerker,2026-06-17,Zaltbommel,1,nee,https://nl.linkedin.com/jobs/view/it-support-medewerker-at-plieger-4426882717,webcare medewerker,ok,,,,hubspot,,,ja,3,,,,,,ja
Pluripharm Groep,pluripharm.com,geraden en bevestigd,Medewerker Customer Services,2026-09-13,Alkmaar,1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-services-at-pluripharm-groep-4439035928,klantenservice medewerker,ok,,,5,,,,ja,0,,,1812 PP,+310723034310,,ja
Pluvo,pluvo.com,geraden en bevestigd,Customer Success Manager,2026-09-11,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-pluvo-4466060567,customer happiness,ok,,,3,hubspot|chatgpt-bot,,,,0,demo aanvragen|api[- ]documen,88899284,1018 AD,+31(20)5605002,,ja
Pouw,pouw.nl,geraden en bevestigd,Service Adviseur Volkswagen,2026-09-04,Apeldoorn,1,nee,https://nl.linkedin.com/jobs/view/service-adviseur-volkswagen-at-pouw-automotive-4463365255,klantadviseur,ok,,,,trengo,,,,0,,,,,,ja
Prada,prada.com,geraden en bevestigd,"PRADA Client Advisor MRTW (m/f/d), De Bijenkorf",2026-09-18,Amsterdam,4,nee,https://nl.linkedin.com/jobs/view/prada-client-advisor-mrtw-m-f-d-de-bijenkorf-at-prada-4467886289,customer happiness,ok,,,62,,,,,0,,,,+31 20 808 5516,,
Print.com,print.com,geraden en bevestigd,After Sales Specialist - Klantrelatie &amp; Complaints,2026-09-10,Deventer,3,nee,https://nl.linkedin.com/jobs/view/after-sales-specialist-klantrelatie-complaints-at-print-com-4465607153,customer happiness,ok,,,14,hubspot,,,,1,,69059500,7418 AM,,,ja
project44,project44.com,geraden en bevestigd,Customer Success Manager,2026-09-15,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-project44-4465266062,customer happiness,ok,,,,chatgpt-bot,,,,0,,,,,,ja
Property Plan,propertyplan.com,geraden en bevestigd,Front-end Developer,2026-09-10,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/front-end-developer-at-property-plan-4463437958,webcare medewerker,ok,,,,,,,,0,,,,,,
Proprli,proprli.com,geraden en bevestigd,Customer Support Professional at team Proprli (NL),2026-07-17,Heerde,1,nee,https://nl.linkedin.com/jobs/view/customer-support-professional%0Aat-team-proprli-nl-at-proprli-4441325540,customer happiness,ok,,,4,,,,,0,demo aanvragen|api[- ]documen,,1863DC,,,ja
Proxsys,proxsys.nl,geraden en bevestigd,Skilled Servicedesk Medewerker,2026-06-18,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/skilled-servicedesk-medewerker-at-proxsys-4439773635,webcare medewerker,ok,,,,hubspot,,,,0,veiling,11051004,4207 GN,0887769797,,ja
PS Calamiteiten,pscalamiteiten.nl,geraden en bevestigd,Medewerker Calamiteiten,2026-06-03,Almere,1,nee,https://nl.linkedin.com/jobs/view/medewerker-calamiteiten-at-ps-calamiteiten-4422942508,webcare medewerker,ok,,,,,,,,0,,,1332 AD,0888730000,,
PSI CRO,psi-cro.com,geraden en bevestigd,Site Management Associate,2026-09-15,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/site-management-associate-at-psi-cro-4465542548,webcare medewerker,ok,,,,,,,,0,,,,,,
QLS,qls.com,geraden en bevestigd,Fashion Medewerker,2026-06-19,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/fashion-medewerker-at-qls-4412024459,orderverwerking medewerker,ok,,,,,,,,0,,,,7168522203,,
Quanterix,quanterix.com,geraden en bevestigd,Customer Care Specialist,2026-09-04,Nederland,1,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-at-quanterix-4463629859,orderverwerking medewerker,ok,,,,,,,,0,,,,+16173019400,,ja
Quatt,quatt.io,geraden en bevestigd,Customer Success Manager - Installations,2026-09-08,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-installations-at-quatt-4462418926,customer happiness,ok,,,,hubspot|chatgpt-bot,trustpilot,,,0,,82048037,1062 HJ,+31851300622,,ja
Quooker,quooker.nl,geraden en bevestigd,Information Technology Support Specialist,2026-09-16,Ridderkerk,2,nee,https://nl.linkedin.com/jobs/view/information-technology-support-specialist-at-quooker-4455729021,webcare medewerker,ok,,,,,,ja,,3,,,2984 AJ,,,ja
Redcare Pharmacy,redcarepharmacy.com,geraden en bevestigd,Magazijnmedewerker (m/v/x) Fulltime in Sevenum,2026-09-18,Sevenum,2,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-m-v-x-fulltime-in-sevenum-at-redcare-pharmacy-4466672636,webcare medewerker,ok,,,,,,,,0,,,,,,
RedCarpet®,redcarpet.com,geraden en bevestigd,Klantenservicemedewerker met ervaring,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-met-ervaring-at-redcarpet%C2%AE-4470290922,klantenservice medewerker,ok,,,,,,,,0,,,,,,ja
REMONDIS Nederland,remondis-shop.nl,geraden en bevestigd,Medewerker Weegbrug- en Order administratie – Veldhoven,2026-07-14,Veldhoven,1,nee,https://nl.linkedin.com/jobs/view/medewerker-weegbrug-en-order-administratie-%E2%80%93-veldhoven-at-remondis-nederland-4440541356,orderverwerking medewerker,ok,,,,,kiyoh,,,2,onze dienstver,,7131 PE,09000955,,ja
Richemont,richemont.com,geraden en bevestigd,E-Boutique Client Advisor French Speaking,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/e-boutique-client-advisor-french-speaking-at-richemont-4467886933,customer happiness,ok,,,3,,,,,0,,,,,,
Ricoh Nederland,ricoh.nl,geraden en bevestigd,Key Account Customer Service Agent | Den Bosch | Hybrid,2026-07-29,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/key-account-customer-service-agent-den-bosch-hybrid-at-ricoh-nederland-4444962081,klantenservice medewerker,ok,,,,,,,,1,,,,,,ja
Roadsoft,roadsoft.com,geraden en bevestigd,Customer Success Specialist (Onboarding &amp; Support),2026-09-17,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-specialist-onboarding-support-at-roadsoft-4468663286,customer happiness,ok,,,,,,,,0,,,,,,ja
ROCKWOOL Group,rockwool.com,geraden en bevestigd,Customer Service Representative,2026-09-10,Roermond,2,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-rockwool-group-4465686734,klantenservice medewerker,ok,,,,chatgpt-bot,,,,0,,,,+45 46 56 03 00,,ja
Rotom Nederland B.V.,rotom.nl,geraden en bevestigd,Customer Service Medewerker Webshop,2026-04-07,Eerbeek,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-webshop-at-rotom-nederland-b-v-4395476141,orderverwerking medewerker,ok,magento,,,,,ja,,0,,,6699FF,+ 31 (0) 499 49101,,ja
Royal A-ware,royal-aware.com,geraden en bevestigd,Medewerker Customer Care,2026-09-09,Almere,3,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-care-at-royal-a-ware-4465069656,orderverwerking medewerker,ok,,,,,,,,0,,,,+31 (0)88 738 1000,,ja
Royal Brinkman,royalbrinkman.nl,geraden en bevestigd,Traineeship E-commerce,2026-06-30,'s-Gravenzande,1,nee,https://nl.linkedin.com/jobs/view/traineeship-e-commerce-at-royal-brinkman-4431924589,e-commerce medewerker,ok,,,4,,,,ja,1,,,,,,
Royal Van Zanten,royalvanzanten.com,geraden en bevestigd,Commercieel Medewerker Customer Service,2026-09-09,Rijsenhout,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-customer-service-at-royal-van-zanten-4463877729,orderverwerking medewerker,ok,woocommerce,,4,,,ja,ja,2,api[- ]documen|veiling,,,,,ja
RVS Clean,rvs-clean.nl,geraden en bevestigd,Cleanroom medewerker,2026-05-23,Bergeyk,1,nee,https://nl.linkedin.com/jobs/view/cleanroom-medewerker-at-rvs-clean-4429783675,webcare medewerker,ok,,,4,,,,,0,,,5571 SP,0497 - 78 23 0,,
Salta Group,salta.nl,geraden en bevestigd,Klantenservice Medewerker,2026-09-09,Hilversum,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-salta-group-4445700000,klantadviseur,ok,,,,freshdesk,trustpilot,ja,ja,4,,08156346,7651 DH,00310854877888,,ja
Salute,salute.nl,geraden en bevestigd,Data Centre NOC Operator,2026-08-07,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/data-centre-noc-operator-at-salute-4460250542,webcare medewerker,ok,,,,,,,,0,,,8011 RE,0384237566,,
Sanbio B.V.,sanbio.nl,geraden en bevestigd,Medewerker Binnendienst,2026-09-10,Uden,1,nee,https://nl.linkedin.com/jobs/view/medewerker-binnendienst-at-sanbio-b-v-4465609918,orderverwerking medewerker,ok,magento,,,hubspot,,ja,,0,,,5405 PB,,,
SanLucar Company,sanlucar.com,geraden en bevestigd,MEDEWERKER COMMERCIËLE ADMINISTRATIE,2026-09-11,Ridderkerk,1,nee,https://nl.linkedin.com/jobs/view/medewerker-commerci%C3%ABle-administratie-at-sanlucar-company-4464881539,orderverwerking medewerker,ok,,,4,,,,,0,,,,,,
Satechi,satechi.com,geraden en bevestigd,Order Fulfillment Specialist,2026-08-24,Nederland,1,nee,https://nl.linkedin.com/jobs/view/order-fulfillment-specialist-at-satechi-4458531021,orderverwerking medewerker,ok,shopify,141,3,hubspot,trustpilot,ja,,0,,,,,,ja
Saxo Bank,home.saxo,geraden en bevestigd,Client Service Associate (French + Dutch Speaking),2026-09-12,Amsterdam,3,nee,https://nl.linkedin.com/jobs/view/client-service-associate-french-%2B-dutch-speaking-at-saxo-bank-4036618828,customer happiness,ok,,,58,,trustpilot,,,0,,,,,,
Schuit Totaal Wonen,schuittotaalwonen.nl,geraden en bevestigd,Backofficemedewerker,2026-09-22,Putten,1,nee,https://nl.linkedin.com/jobs/view/backofficemedewerker-at-schuit-totaal-wonen-1708382084,orderverwerking medewerker,ok,,,,,,,,0,,,3882 TM,0341360060,,
Schuitemaker,schuitemaker.nl,geraden en bevestigd,Stage/afstuderen: E-commerce &amp; Digital Commerce (MBO/HBO),2026-08-11,Rijssen,1,nee,https://nl.linkedin.com/jobs/view/stage-afstuderen-e-commerce-digital-commerce-mbo-hbo-at-schuitemaker-4452106308,webshop medewerker,ok,,,,,,,,0,api[- ]documen,,,,,
Schuurman Groothandel in Elektrotechniek,schuurman.nl,geraden en bevestigd,Commercieel medewerker,2026-08-28,Raamsdonksveer,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-at-schuurman-groothandel-in-elektrotechniek-4458947514,orderverwerking medewerker,ok,,,,,,,ja,0,,,1812 RR,,,
SECRID,secrid.com,geraden en bevestigd,Logistiek Allrounder,2026-09-16,Randstad,2,nee,https://nl.linkedin.com/jobs/view/logistiek-allrounder-at-secrid-4468218180,orderverwerking medewerker,ok,,,,,,ja,,2,,,,,,
Secure Design Webdevelopment,securedesign.nl,geraden en bevestigd,"Vacature front-end developer (mbo / hbo, Leiden, 32-40 uur)",2026-07-09,Leiden,3,nee,https://nl.linkedin.com/jobs/view/vacature-front-end-developer-mbo-hbo-leiden-32-40-uur-at-secure-design-webdevelopment-4448391541,webcare medewerker,ok,,,2,,,,,0,,27381098,2321 DG,0713627963,,
Sedgwick,sedgwick.com,geraden en bevestigd,Administratief Medewerker,2026-09-03,Amstelveen,1,nee,https://nl.linkedin.com/jobs/view/administratief-medewerker-at-sedgwick-4256918853,webcare medewerker,ok,,,8,hubspot|chatgpt-bot,,,,0,api[- ]documen,,,,,
Seed Valley,seedvalley.nl,geraden en bevestigd,Medewerker Customer Service,2026-08-21,Noord-Scharwoude,1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-service-at-seed-valley-4457351891,support medewerker webshop,ok,,,,,,,,0,,,1689 AK,,,ja
Select Courier International B.V.,selectcourier.com,geraden en bevestigd,CUSTOMER SERVICE,2026-07-21,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-at-select-courier-international-b-v-4442661805,klantenservice medewerker,ok,,,2,,,,,1,api[- ]documen,52767574,3045 AP,0102237006,,
Sendcloud,sendcloud.com,geraden en bevestigd,Customer Support Consultant - Benelux,2026-08-31,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/customer-support-consultant-benelux-at-sendcloud-4460023105,klantenservice medewerker,ok,,,11,hubspot,trustpilot|loox,,,0,,,,,,ja
Sense Company,sense-company.com,geraden en bevestigd,Customer Care Specialist,2026-09-16,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-at-sense-company-4467079261,customer happiness,ok,,,9,hubspot,,,,0,api[- ]documen,,5026 RH,+31134600112,,ja
SharkNinja,sharkninja.nl,geraden en bevestigd,Ecommerce &amp; Merchandising Executive – Benelux,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/ecommerce-merchandising-executive-%E2%80%93-benelux-at-sharkninja-4450230207,e-commerce medewerker,ok,,,,,,,,0,,,,,,
Shoppartners B.V.,shoppartners.nl,geraden en bevestigd,Klantenservice medewerker - parttime/fulltime,2026-08-20,Heerhugowaard,3,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-parttime-fulltime-at-shoppartners-b-v-4455642292,webcare medewerker,ok,,,,,feedbackcompany,,,2,,,,,,ja
Sidekix,sidekix.nl,geraden en bevestigd,ORDERPICKER E-FULFILMENT,2026-09-11,Uden,1,nee,https://nl.linkedin.com/jobs/view/orderpicker-e-fulfilment-at-sidekix-4463996411,orderverwerking medewerker,ok,,,,chatgpt-bot,,,,0,,17146941,5405 NB,+31886237000,,
Signify,signify.com,geraden en bevestigd,Key Account Manager eCommerce,2026-09-15,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/key-account-manager-ecommerce-at-signify-4466524130,e-commerce medewerker,ok,,,,,,,ja,0,,,5656 AE,,,
Simac,simac.com,geraden en bevestigd,Customer Experience Manager Healthcare (regio Den Haag/Rotterdam),2026-02-27,Utrecht,2,nee,https://nl.linkedin.com/jobs/view/customer-experience-manager-healthcare-regio-den-haag-rotterdam-at-simac-4377933710,customer happiness,ok,,,3,hubspot,,,,0,,,5503 LL,,,ja
Simply Green,simply-green.nl,geraden en bevestigd,Operations Manager,2026-09-18,Almere,1,nee,https://nl.linkedin.com/jobs/view/operations-manager-at-simply-green-4466686903,support medewerker webshop,ok,,,,,,,,0,,,,,,
Simvia,simvia.com,geraden en bevestigd,Customer Success Manager - Benelux - Growing Impact Scale Up,2026-09-21,Amsterdam,3,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-benelux-growing-impact-scale-up-at-simvia-4469842764,customer happiness,ok,,,7,hubspot,,,,0,,,1012 SH,,,ja
Skil B.V.,skil.com,geraden en bevestigd,E-Commerce Specialist (EMEA),2026-09-04,Breda-Tilburg Area,2,nee,https://nl.linkedin.com/jobs/view/e-commerce-specialist-emea-at-skil-b-v-4461166211,e-commerce medewerker,ok,shopify,521,4,,,ja,,1,,,,,,
Sligro Food Group,sligrofood.com,geraden en bevestigd,Medewerker Customer Care,2026-09-22,Breda,1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-care-at-sligro-food-group-4470293178,klantenservice medewerker,ok,,,,,,,,0,,,,,,ja
Smart Health,smarthealth.live,geraden en bevestigd,Online marketeer,2026-04-07,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-at-smart-health-4398376296,webcare medewerker,ok,,,,,,,,0,api[- ]documen,,,,,
Smartwares Group,smartwares.eu,geraden en bevestigd,Customer Contact Specialist (E-commerce),2026-09-08,Tilburg,3,nee,https://nl.linkedin.com/jobs/view/customer-contact-specialist-e-commerce-at-smartwares-group-4462505766,e-commerce medewerker,ok,,,15,intercom|freshdesk,,,,2,,18035465,5048 AV,,,ja
Smollan Netherlands,smollan.com,geraden en bevestigd,Customer Success Medewerker,2026-08-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-medewerker-at-smollan-netherlands-4447520039,customer happiness,ok,,,6,,,,,0,,,,,,ja
Snelstart,snelstart.nl,geraden en bevestigd,Klantenservice Medewerker Amersfoort,2026-08-25,Amersfoort,2,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-amersfoort-at-snelstart-4447533157,klantenservice medewerker,ok,,,,hubspot,trustpilot,,,0,,37054131,1817 MS,+31222363060,3.420,ja
Social Deal,socialdeal.nl,geraden en bevestigd,Franstalige Klantenservice Medewerker (Flexibel),2026-05-28,'s-Hertogenbosch,2,nee,https://nl.linkedin.com/jobs/view/franstalige-klantenservice-medewerker-flexibel-at-social-deal-4420412173,support medewerker webshop,ok,,,,whatsapp,trustpilot,,,0,api[- ]documen|veiling|boek een kamer,,,+31882050505,,ja
Sockshouse,sockshouse.nl,geraden en bevestigd,Inkoopmedewerker,2026-09-08,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/inkoopmedewerker-at-sockshouse-4464456614,support medewerker webshop,ok,,,2,,,,ja,0,,16070573,5234 KA,+31736496666,,
Solid Partners ICT Groep,solidpartners.nl,geraden en bevestigd,ServiceDesk Medewerker (IT Support Engineer),2026-07-23,Raalte,1,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-it-support-engineer-at-solid-partners-ict-groep-4441553368,webcare medewerker,ok,,,,,,,,0,,08099295,8102 HX,0857921100,,ja
Sonova Group,sonova.com,geraden en bevestigd,Customer Service employee,2026-09-18,Vianen,1,nee,https://nl.linkedin.com/jobs/view/customer-service-employee-at-sonova-group-4383396850,klantenservice medewerker,ok,,,18,,,,,0,,,,,,
Spacewell,spacewell.com,geraden en bevestigd,Customer Success Manager,2026-04-30,Arnhem,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-spacewell-4408796947,customer happiness,ok,,,,hubspot,,,,0,demo aanvragen,,6835 EA,,,ja
Spectrum Equity,spectrumequity.com,geraden en bevestigd,"EMEA Customer Success Manager, Nordic Speaker",2026-09-15,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/emea-customer-success-manager-nordic-speaker-at-spectrum-equity-4465563415,customer happiness,ok,,,,,,,,0,,,,617-464-4600,,ja
SPS Commerce,spscommerce.com,geraden en bevestigd,Customer Success Manager III,2026-09-03,Breukelen,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-iii-at-sps-commerce-4461695365,customer happiness,ok,,,8,,,,,0,api[- ]documen,,,,,ja
SRS,srs.nl,geraden en bevestigd,Retail Support Agent,2025-09-29,Almere,1,nee,https://nl.linkedin.com/jobs/view/retail-support-agent-at-srs-4305383527,support medewerker webshop,ok,woocommerce,,,zendesk,,ja,,0,,,1322 CG,0365487030,,ja
stichd,stichd.com,geraden en bevestigd,Customer Service Representative (Formula 1 &amp; Football),2026-09-17,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-formula-1-football-at-stichd-4468608843,klantenservice medewerker,ok,,,,,,,,0,,,5211 HC,+31 73 688 93 93,,ja
STOX Energy Socks,stoxenergy.com,geraden en bevestigd,Customer Service Specialist,2026-09-04,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-stox-energy-socks-4463382019,klantenservice medewerker,ok,shopify,246,23,whatsapp,trustpilot|trustedshops,ja,,0,,,1076DE,+31202600129,,ja
Studenten.net,studentennet.com,geraden en bevestigd,Klantadviseur Key Account Amersfoort,2026-09-17,Utrecht,23,nee,https://nl.linkedin.com/jobs/view/klantadviseur-key-account-amersfoort-at-studenten-net-4468824591,e-commerce medewerker,ok,,,,,,,,1,,,,,,ja
