bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,kvk,postcode,telefoon,reviewaantal
Forbo Group,forbo.com,geraden en bevestigd,Website Specialist,2026-09-09,Assendelft,1,nee,https://nl.linkedin.com/jobs/view/website-specialist-at-forbo-group-4465066016,webcare medewerker,ok,,,,,,,,,,,
Fortezza Groep,fortezza.com,geraden en bevestigd,Servicedesk Medewerker,2026-08-26,Zoetermeer,1,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-at-fortezza-4459307317,webcare medewerker,ok,,,,,,,,,,,
Funda,funda.nl,geraden en bevestigd,Frontend Developer,2026-09-17,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/frontend-developer-at-funda-4458164601,webcare medewerker,ok,,,,,,,,,,,
Garanti BBVA International,garantibbva.com.tr,geraden en bevestigd,Klantcontactadviseur Sparen,2026-05-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/klantcontactadviseur-sparen-at-garanti-bbva-international-4403973280,klantenservice medewerker,ok,,,1,chatgpt-bot,,,,,,,
Gemeente Krimpenerwaard,gemeentekrimpenerwaard.nl,geraden en bevestigd,Medewerker Klantcontact,2026-09-17,Bergambacht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantcontact-at-gemeente-krimpenerwaard-4468643620,klantenservice medewerker,ok,,,,,,,,,,,
Genesys,genesys.nl,geraden en bevestigd,Customer Success Director,2026-07-16,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/customer-success-director-at-genesys-4436073958,customer happiness,ok,,,,,,,,,,,
Geotab,geotab.com,geraden en bevestigd,SMB Senior Customer Success Manager (CSM) Netherlands,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/smb-senior-customer-success-manager-csm-netherlands-at-geotab-4467845183,customer happiness,ok,,,,,,,,,,,
Get-e,gete.nl,geraden en bevestigd,Client Relationship Manager,2026-09-10,Hoofddorp,1,nee,https://nl.linkedin.com/jobs/view/client-relationship-manager-at-get-e-4465648005,customer happiness,ok,,,,,feedbackcompany,,,,,,
Giga Meubel,gigameubel.nl,geraden en bevestigd,Klantenservice medewerker 32-40 uur,2026-09-08,Barneveld,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-32-40-uur-at-giga-meubel-4462523800,klantenservice medewerker,ok,magento,,,whatsapp,kiyoh,ja,,,3824 MJ,0358796032,2612
Globus Medical,globusmedical.com,geraden en bevestigd,Sr Customer Service Representative,2025-06-10,Brunssum,1,nee,https://nl.linkedin.com/jobs/view/sr-customer-service-representative-at-globus-medical-4245482430,klantenservice medewerker,ok,,,,hubspot,,,,,6446 AX,1-610-930-1800,
GO! Express & Logistics,goexpresslogistics.com,geraden en bevestigd,Customer Service Agent (40 uur),2026-09-08,Veenendaal,1,nee,https://nl.linkedin.com/jobs/view/customer-service-agent-40-uur-at-go%21-express-logistics-4462293610,klantenservice medewerker,ok,,,,,,,,,,,
GoDutch,godutch.com,geraden en bevestigd,Customer Operations Agent,2026-01-13,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-operations-agent-at-godutch-4354448067,klantenservice medewerker,ok,,,3,,loox,,,93777981,1012 KM,,
GoedGepickt Webwinkel Magazijnsoftware,goedgepickt.nl,geraden en bevestigd,Customer Success &amp; Support Specialist,2026-07-02,Etten-Leur,1,nee,https://nl.linkedin.com/jobs/view/customer-success-support-specialist-at-goedgepickt-webwinkel-magazijnsoftware-4435018603,customer happiness,ok,woocommerce|lightspeed,,,chatgpt-bot,,ja,,83147012,4879 NC,085-018 74 75,
GoodHabitz,goodhabitz.com,geraden en bevestigd,Webflow Developer (Marketing),2026-08-27,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/webflow-developer-marketing-at-goodhabitz-4457754763,webcare medewerker,ok,,,8,,,,,,5612 MZ,,
Greenchoice,greenchoice.nl,geraden en bevestigd,Medewerker Klantenservice Zakelijk,2026-09-07,Nijmegen,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-zakelijk-at-greenchoice-4464371525,klantenservice medewerker,ok,,,,,,,,,,0104782326,
GTE,gte-shop.com,geraden en bevestigd,General VA – Social Media Management,2026-08-24,Nieuwegein,2,nee,https://nl.linkedin.com/jobs/view/general-va-%E2%80%93-social-media-management-at-gte-4457163824,webcare medewerker,ok,,,2,,,,,,3288 AC,,
Hammer IT Services B.V.,hammerit.nl,geraden en bevestigd,Allround Medewerker IT &amp; Klantenservice,2026-08-26,Zevenaar,1,nee,https://nl.linkedin.com/jobs/view/allround-medewerker-it-klantenservice-at-hammer-it-services-b-v-4459328254,webcare medewerker,ok,,,,whatsapp,,,,91968410,6904 GG,0858004553,
Happy Hair Service,happyhairservice.nl,geraden en bevestigd,E-commerce &amp; Content Specialist,2026-09-15,Berkel en Rodenrijs,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-content-specialist-at-happy-hair-service-4467753157,webcare medewerker,ok,,,,,,ja,,,2652 XB,0104115555,
Hart Beach,hartbeach.nl,geraden en bevestigd,Website &amp; Webshop Beheerder,2026-09-19,'s-Gravenhage,1,nee,https://nl.linkedin.com/jobs/view/website-webshop-beheerder-at-hart-beach-4469525581,webcare medewerker,ok,shopify,249,4,zendesk,kiyoh,ja,,,2583 DL,31 (0) 70 350 259,
Haselhoff Groep,haselhoff.nl,geraden en bevestigd,ICT Supportdesk Medewerker 1e en 2e lijns,2026-07-27,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/ict-supportdesk-medewerker-1e-en-2e-lijns-at-haselhoff-groep-4428635483,webcare medewerker,ok,,,,,,,,,3542 DR,0031346586000,
HAVI,havi.com,geraden en bevestigd,Customer Service medewerker,2026-09-10,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-havi-4428890417,klantenservice medewerker,ok,,,12,,,,,,,,
Haystack People,haystackpeople.nl,geraden en bevestigd,Customer Succes Manager (SaaS/AI),2026-09-14,Nijmegen,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-manager-saas-ai-at-haystack-people-4465786674,customer happiness,ok,,,,whatsapp,,,,,1161 AH,+31202101104,
HealthConnected (NL),healthconnected.nl,geraden en bevestigd,Customer Succes Specialist,2026-09-11,Alkmaar,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-specialist-at-healthconnected-nl-4466090452,customer happiness,ok,,,,,,,,,1817 BB,085 - 77 33 070,
Hedin Automotive NL,hedinautomotive.nl,geraden en bevestigd,"Medewerker Klantcontact Kia, Fiat, Opel, Jeep en Alfa Romeo",2026-07-29,Wormerveer,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantcontact-kia-fiat-opel-jeep-en-alfa-romeo-at-hedin-automotive-nl-4446078433,klantenservice medewerker,ok,,,,,trustpilot,,,,,,
Hemubo,hemubo.nl,geraden en bevestigd,Support medewerker ICT,2026-09-17,Almere,1,nee,https://nl.linkedin.com/jobs/view/support-medewerker-ict-at-hemubo-4457974171,webcare medewerker,ok,,,,,,,,39050550,1332 EA,+31365492700,
Herbalife,herbalife.com,geraden en bevestigd,Customer Service Representative with English and Dutch - Netherlands and Belgium,2026-09-04,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-with-english-and-dutch-netherlands-and-belgium-at-herbalife-4434132710,klantenservice medewerker,ok,,,,,,ja,,,,,
Het Notarieel,hetnotarieel.nl,geraden en bevestigd,Frontoffice medewerker,2026-08-31,Zwolle,1,nee,https://nl.linkedin.com/jobs/view/frontoffice-medewerker-at-het-notarieel-4461094787,webcare medewerker,ok,,,,,,ja,,,,,
HiBob,hibob.com,geraden en bevestigd,Dutch speaking Enterprise Customer Success Manager,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/dutch-speaking-enterprise-customer-success-manager-at-hibob-4470298188,customer happiness,onbereikbaar,,,,,,,,,,,
Holmen,holmen.com,geraden en bevestigd,Customer Service employee DACH,2026-09-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-employee-dach-at-holmen-4458134943,klantenservice medewerker,ok,,,3,,,,,,,,
Hostnet,hostnet.nl,geraden en bevestigd,Customer Success Representative,2026-09-17,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-representative-at-hostnet-bv-4456027234,customer happiness,ok,woocommerce,,,,trustpilot,ja,,80989253,1013 AA,+31207500800,
Hotelprofessionals,hotelprofessionals.nl,geraden en bevestigd,Medewerker Bediening Fulltime,2026-08-31,Amsterdam,9,nee,https://nl.linkedin.com/jobs/view/medewerker-bediening-fulltime-at-hotelprofessionals-4460007210,webcare medewerker,ok,,,3,,,,,,1000AN,,
HousApp,housapp.com,geraden en bevestigd,Customer Success Manager,2026-06-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-housapp-4421803765,customer happiness,ok,,,5,,loox,,,,,,
Houthoff,houthoff.com,geraden en bevestigd,Marketing- &amp; Communicatiemedewerker,2026-09-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/marketing-communicatiemedewerker-at-houthoff-4461708868,webcare medewerker,ok,,,3,,,,,,1082 MA,+31(0)206056000,
"Hunter Douglas, Inc.",hunterdouglasarchitectural.eu,geraden en bevestigd,Customer Service Representative,2026-09-17,Boxtel,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-hunter-douglas-inc-4439193599,klantenservice medewerker,ok,,,40,,,,,,3071 EL,+31(0)104869911,
Icetubs,icetubs.com,geraden en bevestigd,Webflow &amp; Shopify Developer,2026-07-13,Amsterdam-West,1,nee,https://nl.linkedin.com/jobs/view/webflow-shopify-developer-at-icetubs-4440044522,webcare medewerker,ok,shopify,,1,hubspot|whatsapp,trustpilot,ja,,,,+31(0)332003091,
IGO Promo NL,igopromo.nl,geraden en bevestigd,Customer Service Medewerker,2026-06-04,Helmond,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-igo-promo-4393526741,klantenservice medewerker,ok,,,14,,trustpilot,ja,,,5708 HR,0492 530 122,
Incision,incision.nl,geraden en bevestigd,Customer Success Manager – Benelux,2026-09-14,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-%E2%80%93-benelux-at-incision-4438340131,customer happiness,ok,,,,whatsapp,trustpilot,ja,,,,+31263397906,
Inktweb.nl,inktweb.nl,geraden en bevestigd,Customer Support,2026-08-07,Alkmaar,3,nee,https://nl.linkedin.com/jobs/view/customer-support-at-inktweb-nl-4450703072,klantenservice medewerker,ok,,,3,,feedbackcompany,ja,,,1821 BT,+31725675055,
InShared,inshared.nl,geraden en bevestigd,Web Analytics Specialist,2026-07-27,Leusden,1,nee,https://nl.linkedin.com/jobs/view/web-analytics-specialist-at-inshared-4445943002,webcare medewerker,ok,,,,chatgpt-bot,,,,,3832 RC,+31713641762,
Insify,insify.nl,geraden en bevestigd,Customer Support Specialist,2026-09-14,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-insify-4371506602,klantenservice medewerker,ok,,,,whatsapp,trustpilot,,,80084044,1018 XA,0208881089,
Intergamma,intergamma.nl,geraden en bevestigd,Frontend ontwikkelaar,2026-08-24,Leusden,1,nee,https://nl.linkedin.com/jobs/view/frontend-ontwikkelaar-at-intergamma-4419813509,webcare medewerker,ok,,,,,,,,,,,
Intralox,intralox.com,geraden en bevestigd,Customer Service Account Representative - Danish speaking,2026-09-21,Hoofddorp,3,nee,https://nl.linkedin.com/jobs/view/customer-service-account-representative-danish-speaking-at-intralox-4463385139,customer happiness,ok,,,,,,,,,,,
Invorderingsbedrijf,invorderingsbedrijf.nl,geraden en bevestigd,Klantenservice Medewerker,2026-07-13,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-invorderingsbedrijf-4440044391,klantenservice medewerker,ok,,,4,,,,,73065137,2517 JR,+3170-7620330,
iSpeedToLead,ispeedtolead.com,geraden en bevestigd,Customer Success Manager,2026-09-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-ispeedtolead-4462031875,customer happiness,ok,,,,,,,ja,,,+12542796742,
ista Nederland,ista.com,geraden en bevestigd,Klantenservicemedewerker,2026-09-16,Schiedam,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-at-ista-nederland-b-v-4468276179,klantenservice medewerker,ok,,,22,chatgpt-bot,,,,,,,
IT-Wizzard,itwizzard.com,geraden en bevestigd,Eerstelijns support medewerker ICT,2026-09-15,Harlingen,1,nee,https://nl.linkedin.com/jobs/view/eerstelijns-support-medewerker-ict-at-it-wizzard-4467471105,webcare medewerker,ok,woocommerce,,,,,ja,,,2026 PT,,
JD.COM,global.jd.com,geraden en bevestigd,Customer Service Specialist,2026-09-22,Rotterdam and The Hague,1,nee,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-jd-com-4414673937,klantenservice medewerker,ok,,,,,,ja,,,,,
Jobgether,jobgether.com,geraden en bevestigd,Customer Care Poker Specialist,2026-09-22,Nederland,5,nee,https://nl.linkedin.com/jobs/view/customer-care-poker-specialist-at-jobgether-4468543207,customer happiness,ok,,,,zendesk|hubspot,trustpilot,,,,2026 JB,,
Joerns Healthcare bv,joerns.nl,geraden en bevestigd,Klantadviseur Zorghulpmiddelen,2026-09-11,Houten,2,nee,https://nl.linkedin.com/jobs/view/klantadviseur-zorghulpmiddelen-at-joerns-healthcare-bv-4466071775,klantenservice medewerker,ok,woocommerce,,,,,ja,,34263175,3991 CT,,
Johnson Controls,johnsoncontrols.nl,geraden en bevestigd,Customer Service Employee,2026-09-12,Enschede,1,nee,https://nl.linkedin.com/jobs/view/customer-service-employee-at-johnson-controls-4464268348,klantenservice medewerker,ok,,,,,,,,,,,
JouwWeb,jouwweb.nl,geraden en bevestigd,Customer Support Employee - Evening Shifts,2026-09-18,Eindhoven,2,nee,https://nl.linkedin.com/jobs/view/customer-support-employee-evening-shifts-at-jouwweb-4469189594,webcare medewerker,ok,,,30,zendesk|whatsapp,trustpilot,,,73261505,5617 BC,,
JR286,jr286.com,geraden en bevestigd,Customer Service Representative (International Sales),2026-09-08,Hilversum,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-international-sales-at-jr286-4458671910,klantenservice medewerker,ok,,,,,,,,,,8774645301,
Justus People,justuspeople.nl,geraden en bevestigd,Customer Care Representative,2026-09-14,Badhoevedorp,1,nee,https://nl.linkedin.com/jobs/view/customer-care-representative-at-justus-people-4466129270,klantenservice medewerker,ok,,,,,,,,,,+31646839700,
Kaliber,kaliber.nl,geraden en bevestigd,Conversion &amp; Growth Specialist,2026-09-22,Utrecht,2,nee,https://nl.linkedin.com/jobs/view/conversion-growth-specialist-at-kaliber-4470404906,webcare medewerker,ok,,,,,,,,,,,
KernGezond,kerngezond.nl,geraden en bevestigd,Vacature: Front Office Medewerk(st)er Lelystad – 16u (waarneming),2026-09-03,Lelystad,1,nee,https://nl.linkedin.com/jobs/view/vacature-front-office-medewerk-st-er-lelystad-%E2%80%93-16u-waarneming-at-kerngezond-4460749394,webcare medewerker,ok,,,,,,,,,4451 KB,,
Keter,keter.com,geraden en bevestigd,Specialist eCommerce,2026-08-24,Rijen,1,nee,https://nl.linkedin.com/jobs/view/specialist-ecommerce-at-keter-4456862711,webcare medewerker,ok,,,8,,,ja,,,,,
Keywords Studios,keywordsstudios.com,geraden en bevestigd,Customer Success Manager - Video Games - Remote,2026-07-31,Nederland,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-video-games-remote-at-keywords-studios-4447524776,customer happiness,ok,,,4,hubspot,,,,,,,
Knivesandtools,knivesandtools.nl,geraden en bevestigd,Klantenservice medewerker e-commerce Apeldoorn (32-40 uur),2026-07-17,Apeldoorn,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-e-commerce-apeldoorn-32-40-uur-at-knivesandtools-4441984192,klantenservice medewerker,ok,,,,,trustedshops,ja,,,,,
KONE,kone.nl,geraden en bevestigd,Customer Service Agent (KDB),2026-09-02,Arnhem,1,nee,https://nl.linkedin.com/jobs/view/customer-service-agent-kdb-at-kone-4434478590,klantenservice medewerker,ok,,,,,,,,,2490 AA,,
Kwantum,kwantum.nl,geraden en bevestigd,E commerce Specialist - Merchandising &amp; Content,2026-08-18,Geertruidenberg,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-specialist-merchandising-content-at-kwantum-4454181057,webcare medewerker,ok,,,,,trustpilot,ja,,,5032 MA,,
La Souris,lasouris.com,geraden en bevestigd,Customer Succes Medewerker,2026-06-01,Doetinchem,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-medewerker-at-la-souris-4421659410,customer happiness,ok,,,,,,,,,,,
Leen Bakker,leenbakker.nl,geraden en bevestigd,E commerce Specialist - Merchandising &amp; Content,2026-08-18,Geertruidenberg,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-specialist-merchandising-content-at-leen-bakker-4454170846,webcare medewerker,ok,,,,,,ja,,,4941 SH,,
Lekkerland Nederland B.V.,lekkerland.nl,geraden en bevestigd,Webanalist,2026-09-18,Son en Breugel,1,nee,https://nl.linkedin.com/jobs/view/webanalist-at-lekkerland-nederland-b-v-4469128135,webcare medewerker,ok,,,,,,,,17097532,5692 HR,+31402644400,
Lucid Motors,lucidmotors.com:443,geraden en bevestigd,Customer Care Representative – German Speaking,2026-07-13,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-care-representative-%E2%80%93-german-speaking-at-lucid-motors-4439415412,klantenservice medewerker,ok,,,,,,,,,,18889958243,
Lucid Software,lucid-software.com,geraden en bevestigd,"EMEA Customer Success Manager, Nordic Speaker",2026-09-14,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/emea-customer-success-manager-nordic-speaker-at-lucid-software-4467251933,customer happiness,ok,,,,,,,,,,,
Maas-De Koning,maasdekoning.nl,geraden en bevestigd,Medewerker KCC – Telefonie,2026-09-14,Moordrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-kcc-%E2%80%93-telefonie-at-maas-de-koning-4467091310,klantenservice medewerker,ok,,,,whatsapp,,,,,,0880207200,
Magnet.me,magnet.me,geraden en bevestigd,Customer Success Manager,2026-09-08,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-magnet-me-4464481159,customer happiness,ok,,,,,,,,,,,
MANN+HUMMEL,mann-hummel.com,geraden en bevestigd,S&amp;M IAM Customer Service,2026-06-23,Nieuwegein,1,nee,https://nl.linkedin.com/jobs/view/s-m-iam-customer-service-at-mann%2Bhummel-4430433324,klantenservice medewerker,ok,,,,,,,,,,,
Marente,marente.nl,geraden en bevestigd,Helpende (plus) + verzorgende IG flexpool in Sassenheim,2026-06-26,Sassenheim,1,nee,https://nl.linkedin.com/jobs/view/helpende-plus-%2B-verzorgende-ig-flexpool-in-sassenheim-at-marente-4433894426,webcare medewerker,ok,,,1,,,,,,2215 RA,+31714093333,
Marie-Stella-Maris (B Corp),mariestellamaris.nl,geraden en bevestigd,E-commerce Specialist,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-specialist-at-marie-stella-maris-b-corp-4465099318,webcare medewerker,ok,,,,,,,,,,,
Matt Sleeps,mattsleeps.com,geraden en bevestigd,E-commerce &amp; CRO specialist,2026-05-29,Amsterdam,1,ja,https://nl.linkedin.com/jobs/view/e-commerce-cro-specialist-at-matt-sleeps-4420925045,webcare medewerker,ok,,,,intercom|klaviyo-chat,trustpilot,ja,,,,0202615296,20
MCI,mci.com,geraden en bevestigd,Remote Customer Service Agent,2025-10-31,Middelburg,5,nee,https://nl.linkedin.com/jobs/view/remote-customer-service-agent-at-mci-4331761143,klantenservice medewerker,ok,,,,,,,,,,,
MediaMarkt Benelux,mediamarkt.nl,geraden en bevestigd,Customer Care Specialist Marketplace,2026-09-17,Rotterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-marketplace-at-mediamarkt-benelux-4448057233,klantenservice medewerker,ok,,,15,intercom,trustpilot|trustedshops,ja,,,3072 AP,,
Medipoint,medipoint.nl,geraden en bevestigd,Productiemedewerker reiniging,2026-06-12,Helmond,1,nee,https://nl.linkedin.com/jobs/view/productiemedewerker-reiniging-at-medipoint-4427942440,webcare medewerker,ok,,,,,trustpilot,,,,,088 - 10 20 100,
Medtronic,medtronic.com,geraden en bevestigd,Customer Care Representative – Service &amp; Repair - English Speaker,2026-09-09,Heerlen,4,nee,https://nl.linkedin.com/jobs/view/customer-care-representative-%E2%80%93-service-repair-english-speaker-at-medtronic-4464665528,klantenservice medewerker,ok,,,,,,,,,,,
Meltwater,meltwater.com,geraden en bevestigd,Customer Success Manager,2026-09-01,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-meltwater-4460672135,customer happiness,ok,,,,,,,,,,,
Mendix,mendix.com,geraden en bevestigd,Junior Front-end Developer,2026-09-16,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/junior-front-end-developer-at-mendix-4456943543,webcare medewerker,ok,,,6,,,,,,0087BE,+31102760434,
Mercell,info.mercell.com,geraden en bevestigd,Join our Customer Service teams!,2026-07-04,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/join-our-customer-service-teams%21-at-mercell-4435706727,klantenservice medewerker,ok,,,,,,,,,3454 PV,,
Merz Therapeutics,merztherapeutics.com,geraden en bevestigd,Junior Brand &amp; Digital Manager,2026-09-04,Terheijden,1,nee,https://nl.linkedin.com/jobs/view/junior-brand-digital-manager-at-merz-therapeutics-4440753053,webcare medewerker,ok,,,,,,,ja,,,+49 (0)69 1503 212,
Mijndomein,mijndomein.nl,geraden en bevestigd,Customer Success Specialist,2026-08-31,Almere,1,nee,https://nl.linkedin.com/jobs/view/customer-success-specialist-at-mijndomein-4461083661,webcare medewerker,ok,,,,zendesk|hubspot|chatgpt-bot,,,,,,,
Mila Health,milahealth.com,geraden en bevestigd,Customer success lead,2026-07-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-lead-at-mila-health-4441009278,customer happiness,ok,,,,,,,,,,,
Mollie,mollie.com,geraden en bevestigd,Customer Success Manager - Benelux,2026-09-21,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-benelux-at-mollie-4469895606,customer happiness,ok,,,29,,loox,,,,,,
Momo Medical,momomedical.nl,geraden en bevestigd,Customer Support Specialist,2026-09-11,Delft,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-momo-medical-4464862454,klantenservice medewerker,ok,,,,,,,,68346832,2629 JD,+31681355412),
MoreCareClinics,morecareclinics.nl,geraden en bevestigd,SEO &amp; AI Search Marketeer,2026-09-10,Randstad,1,nee,https://nl.linkedin.com/jobs/view/seo-ai-search-marketeer-at-morecareclinics-4463875820,webcare medewerker,ok,,,,,,,,,,,
Morgan Stanley,morganstanley.com,geraden en bevestigd,Investment Management - EMEA Client Relationship Management - Vice President,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/investment-management-emea-client-relationship-management-vice-president-at-morgan-stanley-4463832383,customer happiness,ok,,,,,,,,,,,
MostWare | Inspireren met IT,mostware.nl,geraden en bevestigd,IT Servicedesk Medewerker,2026-08-26,Leiden,1,nee,https://nl.linkedin.com/jobs/view/it-servicedesk-medewerker-at-mostware-4459179252,webcare medewerker,ok,,,,,,,,,2321EA,+3171 579 10 10,
MPM International Oil Company B.V.,mpmoil.nl,geraden en bevestigd,Customer Service Representative,2026-08-31,Delft,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-mpm-international-oil-company-b-v-4461052787,klantenservice medewerker,ok,,,24,,,,ja,,,+31152514030,
MultiTankcard,mtc.nl,geraden en bevestigd,Customer Service Specialist,2026-06-18,Schiphol-Rijk,1,nee,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-multitankcard-4439777523,klantenservice medewerker,ok,,,1,,,,,,1119 PD,,
myTomorrows,mytomorrows.com,geraden en bevestigd,Full Stack Engineer,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/full-stack-engineer-at-mytomorrows-4469909379,webcare medewerker,ok,,,1,,,,,,1059 CP,,
NCR Voyix,ncrvoyix.com,geraden en bevestigd,Customer Success Manager - Amsterdam,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-amsterdam-at-ncr-voyix-4401623072,customer happiness,ok,,,,,,,,,,1-800-225-5627,
Nedap,nedap.com,geraden en bevestigd,Junior/Medior Full-Stack Ruby Developer .,2026-08-17,Groenlo,2,nee,https://nl.linkedin.com/jobs/view/junior-medior-full-stack-ruby-developer-at-nedap-4452413236,webcare medewerker,ok,,,,hubspot,,,,,7141 DC,,
Netpoint group,netpoint.nl,geraden en bevestigd,(Ervaren) Web Developer - Waalwijk,2026-07-17,Waalwijk,1,nee,https://nl.linkedin.com/jobs/view/ervaren-web-developer-waalwijk-at-netpoint-group-4442179400,webcare medewerker,ok,,,,,,,,,5144NC,,
NieuweStroom,nieuwestroom.nl,geraden en bevestigd,Medewerker Customer Operations,2026-09-17,Maastricht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-operations-at-nieuwestroom-4468605295,klantenservice medewerker,ok,,,,hubspot|chatgpt-bot,,,ja,,6211 XX,+31889968686,
Nilfisk,nilfisk-shop.nl,geraden en bevestigd,Customer Service Employee,2026-09-05,Almere,1,nee,https://nl.linkedin.com/jobs/view/customer-service-employee-at-nilfisk-4463724526,klantenservice medewerker,ok,woocommerce,,,,trustedshops,ja,,70246920,1274 SH,+31355231705,
NORNORM,nornorm.com,geraden en bevestigd,Customer Success Coordinator,2026-08-28,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/customer-success-coordinator-at-nornorm-4460356148,customer happiness,ok,,,7,,,,,,,,
Notuly.,notuly.nl,geraden en bevestigd,Customer succes &amp; support medewerker,2026-08-26,Deventer,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-support-medewerker-at-notuly-4459189122,customer happiness,ok,,,,,,,,,,,
Nutanix,nutanix.com,geraden en bevestigd,"Senior Staff Customer Experience Manager, Dutch speaker",2026-09-09,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/senior-staff-customer-experience-manager-dutch-speaker-at-nutanix-4461295968,customer happiness,ok,,,14,,,,,,,,
Octiva,octiva.tech,geraden en bevestigd,Head of Customer Success,2026-05-04,Breda,2,nee,https://nl.linkedin.com/jobs/view/head-of-customer-success-at-octiva-4420942347,customer happiness,ok,woocommerce,,,,,ja,,,4815PK,,
OH Solutions,oh-solutions.nl,geraden en bevestigd,Customer Experience Specialist,2026-09-11,Almere,1,nee,https://nl.linkedin.com/jobs/view/customer-experience-specialist-at-oh-solutions-4440950989,customer happiness,ok,,,,,,,,,,,
Olyslager,olyslager.nl,geraden en bevestigd,Customer Success Manager,2026-09-18,Bunschoten-Spakenburg,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-olyslager-4430926312,customer happiness,ok,,,,,,,,,,,
Onlineverf.nl,onlineverf.nl,geraden en bevestigd,Medewerker klantenservice,2026-09-11,Hengelo,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-onlineverf-nl-4466058358,klantenservice medewerker,ok,,,3,whatsapp,trustpilot|trustedshops,ja,,,,0851120202,
OPENRED,openred.nl,geraden en bevestigd,Customer Succes Lead,2026-08-13,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-lead-at-openred-4453604681,customer happiness,ok,,,,hubspot,,,,,3182CE,,
