bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal,reviewscore,reviewschaal,reviewaantal_eigen,reviewbron,reviewplatform,review_url,reviewoordeel
Bright Plus,brightplus.com,geraden en bevestigd,Customer Service Medewerker (3 dagen home office),2026-09-14,"Temse, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-3-dagen-home-office-at-bright-plus-4465712711,klantenservice medewerker,ok,woocommerce,,,,,ja,,0,api[- ]documen|veiling,,,,,,,,geen score gevonden,,,
CRH,crh.com,geraden en bevestigd,Customer Service Representative- Leviat,2026-09-05,"Ternat, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-leviat-at-crh-4376801143,klantenservice medewerker,ok,woocommerce,,,,,ja,,0,,,,,,,,,geen score gevonden,,,
Fine Dining & Living,finediningandliving.eu,geraden en bevestigd,Customer Service Medewerker,2026-09-11,"Geel, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-fine-dining-living-4464847888,klantenservice medewerker,ok,magento,,4,,,ja,ja,0,,,,,,,,,geen score gevonden,,,
Impermo,impermo.nl,geraden en bevestigd,Customer Care Professional,2026-09-10,"Sint-Truiden, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-professional-at-impermo-4465809198,klantenservice medewerker,ok,,,6,,trustpilot,ja,,2,,,,,,,,,geen score gevonden,trustpilot,,
Zero Friction,zerofriction.com,geraden en bevestigd,Customer Service and Operations Agent NL &amp; FR,2026-07-23,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-and-operations-agent-nl-fr-at-zero-friction-4444438889,klantenservice medewerker,ok,shopify,64,,,judgeme,ja,,0,,,,,,,,,geen score gevonden,judgeme,,
Baktotaal,baktotaal.nl,geraden en bevestigd,Online marketeer Duits,2026-09-11,Goor,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-duits-at-baktotaal-4466072603,online marketeer webshop,ok,magento,,8,,feedbackcompany,ja,ja,3,veiling,54072905,7472 DD,0548-623016 (,,,,,geen score gevonden,feedbackcompany,,
BONO,bono.nl,geraden en bevestigd,Media Buyer (META) | Paid Social Specialist,2026-08-31,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/media-buyer-meta-paid-social-specialist-at-bono-4461051671,online marketeer webshop,ok,shopify,,,intercom,trustedshops,ja,,4,api[- ]documen,74636391,1511MA,,,4.86582,5,18505,schema.org,trustedshops,https://bono.nl,sterk
Bouwmaat,bouwmaat.nl,geraden en bevestigd,Medewerker Logistiek,2026-07-07,Hilversum,1,nee,https://nl.linkedin.com/jobs/view/medewerker-logistiek-at-bouwmaat-4436581659,logistiek medewerker webshop,ok,shopify,250,6,,trustpilot,ja,ja,3,,,3600 VB,,,,,,geen score gevonden,trustpilot,,
Broekhuis,broekhuis.nl,geraden en bevestigd,Online Marketeer,2026-07-15,Putten,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-at-broekhuis-groep-4439267068,online marketeer webshop,ok,,,,whatsapp,,ja,,0,onze dienstver,,,+31341751187,,4.5,5,,zichtbaar op de pagina,,https://broekhuis.nl,sterk
Detailrs,detailrs.nl,geraden en bevestigd,E-commerce &amp; UX Lead,2026-08-31,Oss,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-ux-lead-at-detailrs-4434440735,online marketeer webshop,ok,shopify,87,3,,trustpilot|judgeme,ja,,2,,,,,,4.8,5,4486,zichtbaar op de pagina,trustpilot|judgeme,https://www.detailrs.nl,sterk
Dutch Jerky,dutchjerky.com,geraden en bevestigd,Customer &amp; Content Guru,2026-09-18,Mierlo,1,nee,https://nl.linkedin.com/jobs/view/customer-content-guru-at-dutch-jerky-4467862824,content specialist webshop,ok,woocommerce,,,klaviyo-chat,trustpilot,ja,,3,,94108722,6981 DL,,,9.6,10,2702,schema.org,trustpilot,https://dutchjerky.com,sterk
Eve Curls,evecurls.nl,geraden en bevestigd,COO Fast Growing DTC/CPG Brand,2026-09-21,Nederland,1,nee,https://nl.linkedin.com/jobs/view/coo-fast-growing-dtc-cpg-brand-at-eve-curls-4469911975,webshop beheerder,ok,shopify,15,33,,trustpilot,ja,,2,,,,,,,,,geen score gevonden,trustpilot,,
FLÂNEUR,flneur.com,geraden en bevestigd,Operations Lead,2026-07-06,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/operations-lead-at-fl%C3%A2neur-4437472534,webshop beheerder,ok,shopify,,,,,ja,,0,,,,,,,,,geen score gevonden,,,
Foot Locker,footlocker.nl,geraden en bevestigd,"Associate Manager, Copy",2026-09-18,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/associate-manager-copy-at-foot-locker-4466689697,content specialist webshop,ok,,,,,,ja,,4,,,,,,,,,geen score gevonden,,,
HelloFresh,hellofresh.nl,geraden en bevestigd,Junior Content Marketing specialist (f/m/x),2026-09-16,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/junior-content-marketing-specialist-f-m-x-at-hellofresh-4468251961,content specialist webshop,ok,,,,hubspot,trustpilot,ja,,2,api[- ]documen,54601312,1114 AE,,,,,,geen score gevonden,trustpilot,,
Hubo,hubo.nl,geraden en bevestigd,Campagne &amp; Content Marketeer,2026-07-10,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/campagne-content-marketeer-at-hubo-4438329167,online marketeer webshop,ok,shopify,1000,,whatsapp,,ja,,2,api[- ]documen,,,,,,,,geen score gevonden,google,,
Infento,infento.com,geraden en bevestigd,❤️✨ Online Marketeer / Growth Hacker for World's Coolest Toy Company! 🛴🚀,2026-04-10,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/%E2%9D%A4%EF%B8%8F%E2%9C%A8-online-marketeer-growth-hacker-for-world-s-coolest-toy-company%21-%F0%9F%9B%B4%F0%9F%9A%80-at-infento-4399005602,online marketeer webshop,ok,woocommerce,,6,,trustpilot,ja,,3,,,,,,,,,geen score gevonden,trustpilot,,
INTERSPORT Group,intersport.nl,geraden en bevestigd,E-COM Content Activation Manager,2026-09-22,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/e-com-content-activation-manager-at-intersport-group-4463863265,content specialist webshop,ok,shopify,1000,,,,ja,,2,,,,,,,,,geen score gevonden,,,
Itility,itility.nl,geraden en bevestigd,Technical Content Specialist,2026-09-16,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/technical-content-specialist-at-itility-4449007948,content specialist webshop,ok,woocommerce,,2,hubspot,,ja,,0,api[- ]documen,,5657 EW,+31880046100,,,,,geen score gevonden,,,
Joybuy,joybuy.nl,geraden en bevestigd,Category Manager-3C,2026-08-31,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/category-manager-3c-at-joybuy-4459217559,webshop beheerder,ok,,,,zendesk,,ja,,4,veiling,,1071CJ,,,,,,geen score gevonden,,,
MARC INBANE® Official,marcinbane.com,geraden en bevestigd,E-commerce Manager,2026-08-24,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-manager-at-marc-inbane-b-v-4456893823,webshop beheerder,ok,,,,,trustpilot,ja,ja,3,,55513603,5048 AA,0031138897150,,,,,geen score gevonden,trustpilot,,
MOLANO,molano.nl,geraden en bevestigd,Magazijnmedewerker,2026-09-21,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-at-molano-4469906009,logistiek medewerker webshop,ok,woocommerce,,4,,,ja,,0,,,,,,,,,geen score gevonden,,,
O My Bag Amsterdam,omybagamsterdam.com,geraden en bevestigd,Operations Lead,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/operations-lead-at-o-my-bag-amsterdam-4464991556,webshop beheerder,ok,shopify,519,9,,judgeme|yotpo,ja,,3,,69094527,1072 GA,,,,,,site onbereikbaar,,,
one2track B.V.,one2track.nl,geraden en bevestigd,Digital Marketeer Duitsland,2026-09-22,Noordwijkerhout,1,nee,https://nl.linkedin.com/jobs/view/digital-marketeer-duitsland-at-one2track-b-v-4470416560,online marketeer webshop,ok,,,2,,kiyoh,ja,,2,,75199335,2211 JT,+31252503737,,9.2,10,2331,schema.org,kiyoh,https://www.one2track.nl,sterk
Outdoor Gigant,outdoorgigant.nl,geraden en bevestigd,SEO &amp; Performance Marketeer (fulltime),2026-09-01,Nijverdal,1,nee,https://nl.linkedin.com/jobs/view/seo-performance-marketeer-fulltime-at-outdoor-gigant-4459541838,online marketeer webshop,ok,woocommerce,,,,,ja,,2,,71297839,7442 PC,0548209022,,4.7,5,,zichtbaar op de pagina,,https://outdoorgigant.nl,sterk
ParfumWebshop,parfumwebshop.nl,geraden en bevestigd,CRM &amp; Campagne Specialist (26–30 uur),2026-09-01,Nieuw-Vennep,1,nee,https://nl.linkedin.com/jobs/view/crm-campagne-specialist-26%E2%80%9330-uur-at-parfumwebshop-4462001872,webshop beheerder,ok,magento,,,,trustpilot,ja,,3,,,,,,4.9,5,19324,schema.org,trustpilot,https://parfumwebshop.nl,sterk
Proforto®,proforto.nl,geraden en bevestigd,Logistiek Medewerker bij Proforto,2026-06-23,Oosterhout,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-bij-proforto-at-proforto%C2%AE-4431235377,logistiek medewerker webshop,ok,magento,,3,trengo|whatsapp,trustpilot|yotpo,ja,,4,,62922351,6541CW,0031248082166,,,,,geen score gevonden,trustpilot|yotpo,,
Schoonderwoerd Vlees,schoonderwoerdvlees.nl,geraden en bevestigd,Magazijnmedewerker,2024-12-05,De Bilt,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-at-schoonderwoerd-vlees-4091409238,orderverwerking,ok,woocommerce,,4,,,ja,,0,,,3721 TK,0031302202143,,,,,geen score gevonden,,,
Schoot verhuur & events bv,schootverhuur.nl,geraden en bevestigd,fulltime magazijnmedewerker,2026-07-21,Budel-Schoot,1,nee,https://nl.linkedin.com/jobs/view/fulltime-magazijnmedewerker-at-schoot-verhuur-events-bv-4442601612,orderverwerking,ok,,,,,,ja,,2,,,3815 KL,+31334324007,,,,,geen score gevonden,,,
Shop4trac,shop4trac.com,geraden en bevestigd,Stage Marketing / Content / Social Media,2026-09-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/stage-marketing-content-social-media-at-shop4trac-4462066724,content specialist webshop,ok,woocommerce,,8,intercom,feedbackcompany,ja,,3,,72200987,1502RD,+310850601485,,9.2,10,,zichtbaar op de pagina,feedbackcompany|google,https://shop4trac.com/over-ons/,sterk
Snowcountry,snowcountry.nl,geraden en bevestigd,Logistiek Medewerker - Fulltime in Amersfoort,2026-07-24,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-fulltime-in-amersfoort-at-snowcountry-4444924601,logistiek medewerker webshop,ok,magento,,21,zendesk,trustpilot,ja,,3,,,,,,,,,geen score gevonden,trustpilot,,
Studio Noos,studionoos.com,geraden en bevestigd,Performance Marketeer,2026-09-17,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/performance-marketeer-at-studio-noos-4468611419,online marketeer webshop,ok,shopify,552,15,hubspot,trustpilot|yotpo,ja,,2,api[- ]documen,,,,,,,,geen score gevonden,trustpilot|yotpo,,
Superyoga,superyoga.nl,geraden en bevestigd,Social Media &amp; Performance Marketeer,2026-09-01,Amstelveen,1,nee,https://nl.linkedin.com/jobs/view/social-media-performance-marketeer-at-superyoga-4461705564,online marketeer webshop,ok,,,,chatgpt-bot,kiyoh|yotpo|klantenvertellen,ja,,4,api[- ]documen,95427309,1181NB,,,9.6,10,7895,schema.org,kiyoh|klantenvertellen|yotpo,https://www.superyoga.nl,sterk
terStal,terstal.nl,geraden en bevestigd,E-Commerce Manager,2026-07-30,Almelo,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-manager-at-terstal-4447081089,webshop beheerder,ok,magento,,,,,ja,,0,,,,,,,,,geen score gevonden,,,
Vedder & Vedder,vedder-vedder.nl,geraden en bevestigd,E-Commerce Merchandiser,2026-09-20,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/e-commerce-merchandiser-at-vedder-vedder-4467318309,webshop beheerder,ok,shopify,,4,,trustedshops,ja,,0,,,,,,,,,geen score gevonden,trustedshops,,
VELORETTI,veloretti.com,geraden en bevestigd,Product Owner Core Systems,2026-07-22,Amsterdam,3,ja,https://nl.linkedin.com/jobs/view/product-owner-core-systems-at-veloretti-4443115017,orderverwerking,ok,shopify,,,,,ja,,1,,,,,,,,,geen score gevonden,,,
Voomy,voomy.com,geraden en bevestigd,E-commerce manager,2026-07-30,Capelle aan den IJssel,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-manager-at-voomy-4447036033,webshop beheerder,ok,shopify,133,,,judgeme|trustedshops,ja,,4,,,,,,,,,site onbereikbaar,,,
Actief Select,actiefselect.com,geraden en bevestigd,Teamleider Customer Service &amp; Administratie,2026-09-15,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/teamleider-customer-service-administratie-at-actief-select-4467708868,klantcontact,ok,woocommerce,,,,,ja,,2,,,3218 TA,,,,,,site onbereikbaar,,,
Amazon,amazon.be,geraden en bevestigd,"Selling Partner Support Associate — Korean Speaker, Selling Partner Support",2026-09-18,Middelburg,1,nee,https://nl.linkedin.com/jobs/view/selling-partner-support-associate-%E2%80%94-korean-speaker-selling-partner-support-at-amazon-4469141601,customer happiness,ok,woocommerce,,2,,,ja,,0,,,,+3232429265,,,,,geen score gevonden,,,
BOOG werkt,boogwerkt.nl,geraden en bevestigd,Manager Zeevracht,2026-09-18,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/manager-zeevracht-at-boog-werkt-4469184421,voorraadbeheer webshop,ok,,,,whatsapp,,ja,,0,api[- ]documen,,,,,,,,geen score gevonden,,,
BRAND VAN EGMOND,brandvanegmond.com,geraden en bevestigd,Marketing Communications Manager,2026-07-29,Naarden,1,nee,https://nl.linkedin.com/jobs/view/marketing-communications-manager-at-brand-van-egmond-4443687519,brand manager webshop,ok,woocommerce,,2,,,ja,,0,,,1411 AH,,,,,,geen score gevonden,,,
Capestone,capestone.com,geraden en bevestigd,Verkoopondersteuning,2026-09-17,Leiden,1,nee,https://nl.linkedin.com/jobs/view/verkoopondersteuning-at-capestone-989989,klantcontact,ok,woocommerce,,4,,,ja,,1,,17252210,2314 XP,,,,,,geen score gevonden,,,
ClockWise,clockwise.nl,geraden en bevestigd,Tech Lead | SaaS | PHP/Svelte | Amsterdam | tot 90K,2026-09-07,Amsterdam-Noord,1,nee,https://nl.linkedin.com/jobs/view/tech-lead-saas-php-svelte-amsterdam-tot-90k-at-clockwise-4462936672,webcare,ok,woocommerce,,,,,ja,,0,,24229830,3221 AV,+31181327777,,,,,geen score gevonden,,,
Connect-D,connectd.nl,geraden en bevestigd,Accountmanager,2026-09-22,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/accountmanager-at-connect-d-4468916109,klantcontact,ok,woocommerce,,,,,ja,,0,,,,,,,,,geen score gevonden,,,
CoolSafety,coolsafety.nl,geraden en bevestigd,Brand Marketeer,2026-09-22,Leusden,1,nee,https://nl.linkedin.com/jobs/view/brand-marketeer-at-coolsafety-4470280362,brand manager webshop,ok,woocommerce,,,chatgpt-bot,trustpilot|kiyoh,ja,,3,,,,,,,,,geen score gevonden,trustpilot|kiyoh,,
Cotton Club,cottonclub.nl,geraden en bevestigd,Verkoopmedewerker,2026-09-18,Sneek,12,nee,https://nl.linkedin.com/jobs/view/verkoopmedewerker-at-cotton-club-4467859252,klantcontact,ok,,,2,,,ja,,2,,,,0203412670,,,,,geen score gevonden,,,
Craftr,craftr.nl,geraden en bevestigd,Relatiebeheerder,2026-09-15,"Gelderland, Nederland",2,nee,https://nl.linkedin.com/jobs/view/relatiebeheerder-at-craftr-4467723241,klantcontact,ok,woocommerce,,,whatsapp,,ja,,0,api[- ]documen|onze dienstver,,3812 RH,+31624227486,,,,,geen score gevonden,,,
Culture Kings,culturekings.com,geraden en bevestigd,Schadebehandelaar Zakelijk,2026-06-12,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/schadebehandelaar-zakelijk-at-culture-kings-4427993913,klantcontact,ok,shopify,,5,gorgias,yotpo,ja,,0,,,,,,,,,geen score gevonden,yotpo,,
De Koffiejongens,dekoffiejongens.nl,geraden en bevestigd,Performance Marketing &amp; Data Specialist,2026-06-22,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/performance-marketing-data-specialist-at-de-koffiejongens-4431711553,brand manager webshop,ok,,,,,trustedshops,ja,,2,,,1401 AB,,,4.8,5,2827,schema.org,trustedshops,https://dekoffiejongens.nl,sterk
De Variabele,devariabele.nl,geraden en bevestigd,Asbestverwijderaar,2026-09-04,Nijmegen,1,nee,https://nl.linkedin.com/jobs/view/asbestverwijderaar-at-de-variabele-4415921427,retourverwerking,ok,woocommerce,,,chatgpt-bot,,ja,,0,,,7005 AP,0800-7101,,,,,geen score gevonden,,,
Doczero,doczero.com,geraden en bevestigd,Full Stack Developer,2026-09-21,Veghel,1,nee,https://nl.linkedin.com/jobs/view/full-stack-developer-at-doczero-4469865358,webcare,ok,woocommerce,,,hubspot,,ja,,0,demo aanvragen|api[- ]documen,17145850,5466 SB,,,,,,geen score gevonden,,,
Dometic,dometic.com,geraden en bevestigd,Customer Service - Tents,2026-09-01,Oosterhout,1,nee,https://nl.linkedin.com/jobs/view/customer-service-tents-at-dometic-4429977053,online sales medewerker,ok,,,,,,ja,,2,,,,,,,,,geen score gevonden,,,
Drunens Ruiterhuis,drunensruiterhuis.nl,geraden en bevestigd,Allround Klantenservice &amp; Administratie medewerker bij Drunens Ruiterhuis - fulltime,2026-09-22,Drunen,1,nee,https://nl.linkedin.com/jobs/view/allround-klantenservice-administratie-medewerker-bij-drunens-ruiterhuis-fulltime-at-drunens-ruiterhuis-4470418764,online sales medewerker,ok,magento,,,whatsapp,kiyoh,ja,,4,,18130789,2026 HV,0416373782,,,,,geen score gevonden,kiyoh,,
Dustin,dustin.be,geraden en bevestigd,Customer Service Representative,2026-09-08,"Rotselaar, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-dustin-4464660222,klantenservice medewerker,ok,,,2,zendesk|chatgpt-bot,,ja,,2,demo aanvragen,,,,,,,,geen score gevonden,,,
Dwelly,dwelly.nl,geraden en bevestigd,CRM &amp; Email Marketing Manager,2026-08-15,Nederland,1,nee,https://nl.linkedin.com/jobs/view/crm-email-marketing-manager-at-dwelly-4465316586,customer journey specialist,ok,shopify,177,4,,judgeme,ja,,1,,,,,,,,,geen score gevonden,judgeme,,
Electro World,electroworld.nl,geraden en bevestigd,Verkoopmedewerker,2026-08-25,Vught,1,nee,https://nl.linkedin.com/jobs/view/verkoopmedewerker-at-electro-world-4458764109,medewerker webshop,ok,magento,,1,hubspot,feedbackcompany,ja,,3,,32089173,1000 WP,035-3032500 (,,,,,geen score gevonden,feedbackcompany,,
ETC Nederland,etc-shop.nl,geraden en bevestigd,Logistiek medewerker,2026-09-09,Almelo,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-at-etc-nederland-4465066024,e-fulfilment medewerker,ok,,,8,,,ja,,3,,,,,,,,,geen score gevonden,google,,
Evernex,evernex.com,geraden en bevestigd,Warehouse Operations Specialist - Uithoorn,2026-09-17,Uithoorn,1,nee,https://nl.linkedin.com/jobs/view/warehouse-operations-specialist-uithoorn-at-evernex-4459342708,retourverwerking,ok,woocommerce,,10,hubspot,,ja,,0,demo aanvragen,,,,,,,,geen score gevonden,,,
Flextender,flextender.nl,geraden en bevestigd,Relatiemanager,2026-09-21,Eemnes,1,nee,https://nl.linkedin.com/jobs/view/relatiemanager-at-flextender-4469892063,klantcontact,ok,woocommerce,,,,,ja,,0,onze dienstver,,3755 EZ,0357510777,,,,,geen score gevonden,,,
Greetz,greetz.nl,geraden en bevestigd,Brand &amp; Campaign Marketer (Dutch &amp; English Speaking),2026-09-07,Almere,1,nee,https://nl.linkedin.com/jobs/view/brand-campaign-marketer-dutch-english-speaking-at-greetz-4453466063,brand manager webshop,ok,,,,intercom|hubspot,trustpilot,ja,,2,,,,,,,,,geen score gevonden,trustpilot,,
HBM Machines B.V.,hbmmachinesnl.com,geraden en bevestigd,Domein Lead Product to Market (32 - 40 uur),2026-09-03,Waddinxveen,2,nee,https://nl.linkedin.com/jobs/view/domein-lead-product-to-market-32-40-uur-at-hbm-machines-b-v-4461712718,webshop beheerder,ok,woocommerce,,,,,ja,,2,,,5506BD,,,,,,geen score gevonden,,,
Heinen Delfts Blauw,heinendelftsblauw.nl,geraden en bevestigd,Marketing manager,2026-08-06,Putten,1,nee,https://nl.linkedin.com/jobs/view/marketing-manager-at-heinen-delfts-blauw-4450266759,brand manager webshop,ok,,,,hubspot,yotpo,ja,,4,,70420742,3881 LB,,,,,,geen score gevonden,yotpo,,
Hooks Creative,hooks-creative.com,geraden en bevestigd,Medior Marketing Manager,2026-09-14,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/medior-marketing-manager-at-hooks-creative-4467027704,brand manager webshop,ok,woocommerce,,,hubspot,,ja,,0,,,,,,,,,geen score gevonden,,,
Intratuin,intratuin.nl,geraden en bevestigd,Magazijn medewerker 38 uur,2026-09-09,Emmeloord,1,nee,https://nl.linkedin.com/jobs/view/magazijn-medewerker-38-uur-at-intratuin-4462556555,magazijnmedewerker webshop,ok,magento,,1,,,ja,,2,,,3447 GG,,,,,,geen score gevonden,,,
Koninklijke Ruig,ruig.nl,geraden en bevestigd,Productie Werkvoorbereider Assistent,2024-08-20,Oostzaan,1,nee,https://nl.linkedin.com/jobs/view/productie-werkvoorbereider-assistent-at-koninklijke-ruig-4005851388,retourverwerking,ok,woocommerce,,,,,ja,,0,api[- ]documen,34231436,1511 GE,,,,,,geen score gevonden,,,
Lasaulec BV,lasaulec.nl,geraden en bevestigd,Commercieel Medewerker Binnendienst,2026-08-31,Almere,2,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-lasaulec-bv-4460058994,online sales medewerker,ok,,,,,,ja,ja,0,,,,,,,,,geen score gevonden,,,
Lavastica International B.V.,lavastica.com,geraden en bevestigd,Vertegenwoordiger binnendienst,2026-08-11,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/vertegenwoordiger-binnendienst-at-lavastica-international-b-v-4430922775,online sales medewerker,ok,woocommerce,,,,,ja,,0,api[- ]documen,,3047 AT,0031102655070,,,,,geen score gevonden,,,
LMW,mooiedomeinnaam.nl,geraden en bevestigd,Medewerker Support,2026-07-10,Breukelen,1,nee,https://nl.linkedin.com/jobs/view/medewerker-support-at-lmw-4439020724,klantenservice medewerker,ok,,,,whatsapp,,ja,,0,onze dienstver,,3353HC,+31888777555,,,,,geen score gevonden,,,
Loopper.com,loopper.com,geraden en bevestigd,Sales Binnendienst / Junior Accountmanager,2026-09-16,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/sales-binnendienst-junior-accountmanager-at-loopper-com-4468204148,orderpicker webshop,ok,,,15,,trustpilot|kiyoh,ja,ja,0,,,,+44 20 4576 5960,"1,281",9.3,10,1281,schema.org,trustpilot|kiyoh,https://www.loopper.com,sterk
Mobile Water,mobilewater.nl,geraden en bevestigd,Customer Innovation Specialist – Marketing &amp; Technology,2026-09-14,Breda,1,nee,https://nl.linkedin.com/jobs/view/customer-innovation-specialist-%E2%80%93-marketing-technology-at-mobile-water-4467056885,customer journey specialist,ok,woocommerce,,4,chatgpt-bot,,ja,,1,,52540979,4811 CA,0850607041,,,,,geen score gevonden,,,
Mondial Relay,mondialrelay.nl,geraden en bevestigd,Senior Marketing Manager,2026-09-07,Vianen,1,nee,https://nl.linkedin.com/jobs/view/senior-marketing-manager-at-mondial-relay-4461864926,brand manager webshop,ok,,,7,hubspot,trustpilot,ja,,1,,,,,,,,,geen score gevonden,trustpilot,,
Movares,movares.com,geraden en bevestigd,Projectleider Bodem,2026-09-04,Raalte,1,nee,https://nl.linkedin.com/jobs/view/projectleider-bodem-at-movares-4443877708,retourverwerking,ok,woocommerce,,,,,ja,,0,,,1058 EA,+31302655555,,,,,geen score gevonden,,,
MyParcel,myparcel.nl,geraden en bevestigd,Customer Solutions Manager,2026-09-15,Hoofddorp,2,nee,https://nl.linkedin.com/jobs/view/customer-solutions-manager-at-myparcel-4467493526,orderpicker webshop,ok,woocommerce,,2,whatsapp,trustpilot,ja,,1,api[- ]documen,,0000FF,,,,,,geen score gevonden,trustpilot,,
NIBHV,nibhv.nl,geraden en bevestigd,Medewerker Verkoop &amp; Advies,2026-07-25,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/medewerker-verkoop-advies-at-nibhv-4440532018,online sales medewerker,ok,woocommerce,,,hubspot,,ja,,1,api[- ]documen,,3067 GJ,+31102892888,,,,,geen score gevonden,,,
PeterPrint,peterprint.nl,geraden en bevestigd,Tech Lead (lead developer),2026-09-15,Groningen,1,nee,https://nl.linkedin.com/jobs/view/tech-lead-lead-developer-at-peterprint-4465258198,orderpicker webshop,ok,magento,,2,,feedbackcompany,ja,,1,,,,+31882211500,,9.5,10,1808,zichtbaar op de pagina,feedbackcompany,https://www.peterprint.nl,sterk
Philips,philips.nl,geraden en bevestigd,Logistiek Medewerker &amp; Warehouse Coördinator 7T MR,2026-09-02,Best,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-warehouse-co%C3%B6rdinator-7t-mr-at-philips-4460983149,e-fulfilment medewerker,ok,,,,,,ja,ja,2,,,,,,,,,geen score gevonden,,,
Piaggio Vespa B.V.,piaggio-vespa.nl,geraden en bevestigd,Marketingmanager,2026-08-28,Breda,1,nee,https://nl.linkedin.com/jobs/view/marketingmanager-at-piaggio-vespa-b-v-4460190990,brand manager webshop,ok,,,2,,,ja,,0,,,,,,,,,geen score gevonden,,,
Pricewise,pricewise.nl,geraden en bevestigd,CRM &amp; Customer Data Specialist,2026-09-11,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/crm-customer-data-specialist-at-pricewise-4464887401,customer journey specialist,ok,,,,chatgpt-bot,trustpilot,ja,,0,,,1043 AJ,,,,,,geen score gevonden,trustpilot,,
Probo.nl,probo.nl,geraden en bevestigd,Productiemedewerker,2026-08-20,Dokkum,2,nee,https://nl.linkedin.com/jobs/view/productiemedewerker-at-probo-nl-4456771854,packaging medewerker webshop,ok,magento,,,trengo,,ja,,2,,,,,,,,,geen score gevonden,,,
Sam Friday,samfriday.com,geraden en bevestigd,Marketingmanager,2026-08-03,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/marketingmanager-at-sam-friday-2438183638,brand manager webshop,ok,,,,hubspot,,ja,,3,,,,,,,,,geen score gevonden,,,
Snackpilot,snackpilot.nl,geraden en bevestigd,Sales Representative (m/f/d) - Full-time or Part-time Remote,2026-08-24,Nederland,1,nee,https://nl.linkedin.com/jobs/view/sales-representative-m-f-d-full-time-or-part-time-remote-at-snackpilot-4456505809,online sales medewerker,ok,shopify,65,183,zendesk,,ja,,1,,,,,,,,,geen score gevonden,,,
Somnox,nl.somnox.com,geraden en bevestigd,Growth Marketeer,2026-09-15,Rotterdam,1,ja,https://nl.linkedin.com/jobs/view/growth-marketeer-at-somnox-4467727583,brand manager webshop,ok,woocommerce,,,intercom,trustpilot,ja,,2,,,3013 AK,0108994105,,4.6,5,1332,zichtbaar op de pagina,trustpilot,https://nl.somnox.com/nl/home/,sterk
