bedrijf,domein,herkomst,platform,producten,markten,cs_tools,review_tools,vacature,vacature_datum,reviewscore,klachten,opgelost_pct,kvk,postcode,telefoon,signalen
Bak & Co,bakenco.nl,Thuiswinkel Waarborg-ledenlijst,,,,,kiyoh|klantenvertellen,,,,,,,3542CA,,
Salontopper.nl,salontopper.nl,Thuiswinkel Waarborg-ledenlijst,,,19,,kiyoh,,,,,,,7051HX,,
Zwembadstore.com,zwembadstore.com,Thuiswinkel Waarborg-ledenlijst,,,,,feedbackcompany,,,,,,81436947,9601EM,,
SteamOne,steam-one.nl,Thuiswinkel Waarborg-ledenlijst,prestashop,,,,trustpilot,,,,,,57761418,8017JV,+31851305975,
Dehangmat.nl,dehangmat.nl,Thuiswinkel Waarborg-ledenlijst,magento,,18,,trustpilot,,,,,,51904071,7701BV,085 00 22 222,
Acid Vendetta,acidvendetta.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,,,,,,,,77847067,9626AN,,
Babypark,babypark.nl,Thuiswinkel Waarborg-ledenlijst,magento,,3,whatsapp,trustpilot,,,,,,11031491,4041DA,+310488488888,
zilver.nl,zilver.nl,Thuiswinkel Waarborg-ledenlijst,,,,tawk,kiyoh,,,,,,,1151EC,+31204033653,
Motorkledingstore.nl,motorkledingstore.nl,Thuiswinkel Waarborg-ledenlijst,,,,chatgpt-bot,,,,,,,58351191,4815HT,+31765151510,
parfumservice.nl,parfumservice.nl,Thuiswinkel Waarborg-ledenlijst,,,2,,,,,,,,66290805,2408DC,+31682792739,
OnsMagazijn.nl,onsmagazijn.nl,Thuiswinkel Waarborg-ledenlijst,magento,,,whatsapp,kiyoh,,,,,,68970978,2153PD,+31252349954,
tapijtenkelim.nl,tapijtenkelim.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,,,,,,,,66636450,2805GK,+31852033603,
Sunwarrior Nederland,sunwarriornederland.nl,Thuiswinkel Waarborg-ledenlijst,magento,,2,,feedbackcompany,,,,,,,3641RD,,
Handzender.nl,handzender.nl,Thuiswinkel Waarborg-ledenlijst,,,,whatsapp,kiyoh|yotpo,,,,,,,8343RD,088-3667337,
Hekwerk Direct,hekwerkdirect.nl,Thuiswinkel Waarborg-ledenlijst,,,,zendesk|whatsapp,kiyoh|yotpo|klantenvertellen,,,,,,73576018,5626DK,0402094087,
Heuts.nl,heuts.nl,Thuiswinkel Waarborg-ledenlijst,magento,,10,freshdesk,trustedshops,,,,,,,5465PR,+31858882103,
Letsleds,letsleds.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,,,,,,,,,5411LX,+31486750438,
Ada Store,adastore.nl,Thuiswinkel Waarborg-ledenlijst,,,,whatsapp,trustpilot,,,,,,,5672BE,+31 6 1691 7605,
123 3D B.V.,123-3d.nl,Thuiswinkel Waarborg-ledenlijst,,,,,kiyoh,,,,,,,1394PC,,
NEBO de fotospecialist B.V.,neboweb.nl,Thuiswinkel Waarborg-ledenlijst,magento,,,zendesk|whatsapp,kiyoh,,,,,,92308376,2593AP,0703040777,
Little Grove,little-grove.eu,Thuiswinkel Waarborg-ledenlijst,woocommerce,,4,,,,,,,,16069800,5301KM,,
Bodyfashion Lingerie Born,bodyfashion-born.nl,Thuiswinkel Waarborg-ledenlijst,,,,whatsapp,,,,,,,,6121NR,046-4519832,
Recarfix,recarfix.com,Thuiswinkel Waarborg-ledenlijst,woocommerce,,6,whatsapp,,,,,,,94819092,2031CE,0854016597,
Zadelman,zadelman.com,Thuiswinkel Waarborg-ledenlijst,woocommerce,,5,whatsapp,trustpilot,,,,,,93739362,7575EC,0031858003040,
Educatheek.nl,educatheek.nl,Thuiswinkel Waarborg-ledenlijst,magento,,,,,,,,,,,3542CA,,
Just Underwear B.V.,justunderwear.nl,Thuiswinkel Waarborg-ledenlijst,,,,,,,,,,,,5121EB,,
Brandpreventiewinkel,brandpreventiewinkel.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,trengo,trustpilot,,,,,,,5721WS,,
Hulpmiddelwereld.nl,hulpmiddelwereld.nl,Thuiswinkel Waarborg-ledenlijst,magento,,1,,,,,,,,,6226NC,,
Jeroen Beekman Mode,jeroenbeekman.nl,Thuiswinkel Waarborg-ledenlijst,,,,,kiyoh,,,,,,39067049,8305BM,0527612113,
Cosori,cosorishop.nl,Thuiswinkel Waarborg-ledenlijst,,,,,,,,,,,,8017JV,,
Tuinsethoeskopen.nl,tuinsethoeskopen.nl,Thuiswinkel Waarborg-ledenlijst,,,,,klantenvertellen,,,,,,,6669NB,0488441220,
2ehands-fitness.shop,2ehands-fitness.shop,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,,,,,,,,30271700,3433KT,0616012303,
Diveoutlet,diveoutlet.nl,Thuiswinkel Waarborg-ledenlijst,,,,,kiyoh|feedbackcompany|yotpo|klantenvertellen,,,,,,,2235CN,,
Topbloemen.nl,topbloemen.nl,Thuiswinkel Waarborg-ledenlijst,,,4,whatsapp,kiyoh,,,,,,34108906,1432DJ,0881108050,
mini-koelkasten.nl,mini-koelkasten.nl,Thuiswinkel Waarborg-ledenlijst,,,,,,,,,,,,8501BA,,
OverhemdenOnline.nl,overhemdenonline.nl,Thuiswinkel Waarborg-ledenlijst,,,,zendesk|freshdesk,trustpilot|kiyoh,,,,,,28008642,2311CX,,
Vijvercentrum.nl,vijvercentrum.nl,Thuiswinkel Waarborg-ledenlijst,shopify,1000,3,whatsapp,,,,,,,97539902,5151RP,,
Spierings Herenmode,spieringsherenmode.nl,Thuiswinkel Waarborg-ledenlijst,,,,zendesk|freshdesk,trustpilot|kiyoh,,,,,,28008642,2182ER,,
LEDshop-Groenovatie.com,ledshop-groenovatie.com,Thuiswinkel Waarborg-ledenlijst,,,,tawk,feedbackcompany,,,,,,59567023,8502TH,+31850654776,
Chinup,chinup.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,,kiyoh,,,,,,21019979,4524CZ,0031117740045,
ViveraWaterbedden.nl,viverawaterbedden.nl,Thuiswinkel Waarborg-ledenlijst,magento,,2,,,,,,,,61830844,7321CT,033 - 760 0000,
Verno.com,verno.com,Thuiswinkel Waarborg-ledenlijst,magento,,,,yotpo,,,,,,34168285,2142EN,023 7996683,
RVS Products,rvs-products.nl,Thuiswinkel Waarborg-ledenlijst,magento,,3,,,,,,,,,2903LC,,
Schreuder Natuurgeneesmiddelen,schreuder-natuurgeneesmiddelen.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,,,,,,,,,3743BP,,
Speedcube,speedcube.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,5,,kiyoh,,,,,,85518336,1704RM,+31850407692,
De Bouwhof,bouwhof.nl,Thuiswinkel Waarborg-ledenlijst,,,,,trustpilot,,,,,,,2723RT,,
Shirtmeister®,shirtmeister.com,Thuiswinkel Waarborg-ledenlijst,woocommerce,,3,intercom|hubspot,trustpilot,,,,,,,5705BK,0031492509826,
Boekenwereld.com,boekenwereld.com,Thuiswinkel Waarborg-ledenlijst,,,,,trustpilot,,,,,,30068750,3584AA,,
Wumby,wumby.com,Thuiswinkel Waarborg-ledenlijst,shopify,8,5,whatsapp,trustpilot,,,,,,86895192,4803EW,+31767002029,
Forza Refurbished,forza-refurbished.nl,Thuiswinkel Waarborg-ledenlijst,magento,,4,zendesk|whatsapp,feedbackcompany,,,,,,63330164,4837DS,0031881447700,
Ventilators.shop,ventilators.shop,Thuiswinkel Waarborg-ledenlijst,,,,,,,,,,,,8501BA,,
Kristalonline,kristalonline.nl,Thuiswinkel Waarborg-ledenlijst,,,3,,kiyoh,,,,,,,3281LW,,
Condoom-Anoniem.nl,condoom-anoniem.nl,Thuiswinkel Waarborg-ledenlijst,,,,whatsapp|chatgpt-bot,trustpilot,,,,,,59159170,5504HM,0402554494,
ZINZI,zinzi.nl,Thuiswinkel Waarborg-ledenlijst,magento,,3,trengo|whatsapp,trustpilot,,,,,,24188220,3043BC,+0102380803,
Decorazzi,decorazzi.com,Thuiswinkel Waarborg-ledenlijst,,,,,,,,,,,91415470,3515ET,,
Wijnkoelkaststore.com,wijnkoelkaststore.com,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,,,,,,,,61563765,6081PG,0412745370,
Dekbedden.nl,dekbedden.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,,kiyoh,,,,,,76937941,2312NW,0031715690041,
Probeauty,probeauty.nl,Thuiswinkel Waarborg-ledenlijst,prestashop,,2,,trustpilot|trustedshops,,,,,,67154689,7007CP,0316531501,
Eco-Logisch,eco-logisch.nl,Thuiswinkel Waarborg-ledenlijst,,,3,,,,,,,,,1043AK,,
Schulte Herenmode,schulteherenmode.nl,Thuiswinkel Waarborg-ledenlijst,,,,zendesk|freshdesk,trustpilot|kiyoh,,,,,,28008642,2341GL,,
Bold Monkey,boldmonkey.com,Thuiswinkel Waarborg-ledenlijst,magento,,4,,kiyoh,,,,,,35029777,1551NB,,
beautyplaza.com,beautyplaza.com,Thuiswinkel Waarborg-ledenlijst,magento,,7,,,,,,,,,4524EG,,
Carmediabox.nl,carmediabox.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,whatsapp,trustpilot,,,,,,59376406,5731ST,,
Zen Lifestyle,zen-lifestyle.nl,Thuiswinkel Waarborg-ledenlijst,magento,,,,,,,,,,,6603CG,,
GewoonGers,gewoongers.nl,Thuiswinkel Waarborg-ledenlijst,,,,whatsapp,trustpilot,,,,,,,3133EE,,
Footlogics.nl,footlogics.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,whatsapp,kiyoh,,,,,,93462085,1314AL,+31365260888,
Urnencenter.nl,urnencenter.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,22,,trustpilot|kiyoh,,,,,,82752338,3526KS,0302378019,
Olfit.nl,olfit.nl,Thuiswinkel Waarborg-ledenlijst,,,,,feedbackcompany,,,,,,24289459,3201BH,+310887767575,
Blessurewijzer,blessurewijzer.nl,Thuiswinkel Waarborg-ledenlijst,magento,,,,,,,,,,,3313CS,088-2452217,
Computerkeuze.nl,computerkeuze.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,,,,,,,,,2841MA,,
Toys For Joy,toysforjoy.nl,Thuiswinkel Waarborg-ledenlijst,ccvshop,,,,kiyoh,,,,,,,1043GR,,
Electrocorner,electrocorner.nl,Thuiswinkel Waarborg-ledenlijst,,,,,kiyoh|klantenvertellen,,,,,,,3447GS,0348-486544,
Veilige vaart,veiligevaart.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,4,whatsapp,kiyoh|klantenvertellen,,,,,,77934385,2913LZ,+31102341212,
Discus.nl,discus.nl,Thuiswinkel Waarborg-ledenlijst,,,,,,,,,,,50824287,7005BP,,
Rene Houtman Interieurs B.V.,renehoutman.nl,Thuiswinkel Waarborg-ledenlijst,,,,tawk,kiyoh|klantenvertellen,,,,,,89693264,7798CC,,
Buffalo.nl,buffalo.nl,Thuiswinkel Waarborg-ledenlijst,magento,,,,kiyoh,,,,,,,1069CB,,
Kluizen.nl,kluizen.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,,kiyoh|klantenvertellen,,,,,,24175171,2991XS,+31180555200,
jachtlakken.nl,jachtlakken.nl,Thuiswinkel Waarborg-ledenlijst,,,,,feedbackcompany,,,,,,72731311,8938AP,+31 (0)58 767 60 9,
Partydeco.nl,partydeco.nl,Thuiswinkel Waarborg-ledenlijst,magento,,,,kiyoh,,,,,,66961610,3316GZ,088-0990300,
rommysgallery.com,rommysgallery.com,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,whatsapp,,,,,,,63460645,2993PK,31630411161,
Cupido.nl,cupido.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,zendesk,kiyoh,,,,,,83059237,2343LB,071-3626162,
Kindermodehuis.nl,kindermodehuis.nl,Thuiswinkel Waarborg-ledenlijst,,,,,kiyoh,,,,,,85769614,3641RH,+31297378040,
Baby-Dump.nl,baby-dump.nl,Thuiswinkel Waarborg-ledenlijst,magento,,3,whatsapp,trustpilot,,,,,,17173294,5492HE,+310499460800,
ikwilzitzakken.nl,ikwilzitzakken.nl,Thuiswinkel Waarborg-ledenlijst,,,2,,kiyoh,,,,,,73980366,3825JE,+31853030828,
Boeketcadeau.nl,boeketcadeau.nl,Thuiswinkel Waarborg-ledenlijst,,,,,trustpilot,,,,,,80751830,2051GM,,
KommaGo.nl,kommago.nl,Thuiswinkel Waarborg-ledenlijst,magento,,,trengo|intercom,trustedshops,,,,,,,3542AW,+31306691220,
Barco Lichttotaal,barco.nl,Thuiswinkel Waarborg-ledenlijst,,,,,kiyoh,,,,,,04058685,7821CA,0591659079,
Containerverlener.nl,containerverlener.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,,feedbackcompany,,,,,,73741698,8321MN,0527681556,
Kerstpakkettenplaza.nl,kerstpakkettenplaza.nl,Thuiswinkel Waarborg-ledenlijst,,,,,,,,,,,17280883,6606AK,+31243031166,
Bouwprofi.nl,bouwprofi.nl,Thuiswinkel Waarborg-ledenlijst,magento,,,,,,,,,,,2801AK,,
Netcamshop.nl,netcamshop.nl,Thuiswinkel Waarborg-ledenlijst,magento,,,trengo,trustedshops,,,,,,,3542AW,+31306691224,
VoorMijnDier.nl,voormijndier.nl,Thuiswinkel Waarborg-ledenlijst,magento,,,zendesk,trustpilot,,,,,,,7961EA,+31522202120,
werkjassen.nl,werkjassen.nl,Thuiswinkel Waarborg-ledenlijst,,,2,,yotpo,,,,,,23048769,2974LH,0184-64 2974,
Ledlichtdiscounter.nl,ledlichtdiscounter.nl,Thuiswinkel Waarborg-ledenlijst,,,,zendesk|whatsapp,trustpilot,,,,,,,1329AE,036 525 14 44,
Top-zwembadshop.nl,top-zwembadshop.nl,Thuiswinkel Waarborg-ledenlijst,magento,,4,freshdesk,trustedshops,,,,,,96832487,6433KG,+31858882103,
Chilly,chillyhilversum.nl,Thuiswinkel Waarborg-ledenlijst,magento,,2,,feedbackcompany,,,,,,32130863,1214BE,0031356249407,
Tadaaz,tadaaz.nl,Thuiswinkel Waarborg-ledenlijst,,,,zendesk,kiyoh,,,,,,22048393,4538AA,0115614544,
Pommelientje,pommelientje.nl,Thuiswinkel Waarborg-ledenlijst,,,,,kiyoh|klantenvertellen,,,,,,02085307,9627PA,06-27241651,
WaterbedKampioen.nl,waterbedkampioen.nl,Thuiswinkel Waarborg-ledenlijst,magento,,2,,,,,,,,,7321CT,033 711 5605,
Verfwinkel.nl,verfwinkel.nl,Thuiswinkel Waarborg-ledenlijst,magento,,2,,trustpilot,,,,,,,5705DK,+31857823439,
Allekabels.nl,allekabels.nl,Thuiswinkel Waarborg-ledenlijst,,,6,,,,,,,,,6442PB,,
Casy.nl,casy.nl,Thuiswinkel Waarborg-ledenlijst,magento,,,,feedbackcompany,,,,,,,7556RC,,
OBD-Partner,obd-partner.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,,kiyoh,,,,,,60931477,3261NB,,
Veiligheids-sloten.nl,veiligheids-sloten.nl,Thuiswinkel Waarborg-ledenlijst,,,,whatsapp,kiyoh,,,,,,66981581,3087NA,,
Rozenkwekerij de wilde,dewilde.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,,kiyoh,,,,,,84129174,7399AK,+31575211388,
Dailystyle.nl,dailystyle.nl,Thuiswinkel Waarborg-ledenlijst,magento,,3,,,,,,,,,1069DZ,,
Bestekshop.nl,bestekshop.nl,Thuiswinkel Waarborg-ledenlijst,,,,,,,,,,,95829105,3812PR,0652044640,
Buitengoed.nl,buitengoed.nl,Thuiswinkel Waarborg-ledenlijst,,,,,,,,,,,06082440,7581CZ,0535382789,
Koffiecentrale.nl,koffiecentrale.nl,Thuiswinkel Waarborg-ledenlijst,,,,,,,,,,,84740574,5928RA,0773200774,
De Online ParketShop,onlineparketshop.nl,Thuiswinkel Waarborg-ledenlijst,,,,,,,,,,,28090906,2163HC,0252417778,
Rolgordijn.com,rolgordijn.com,Thuiswinkel Waarborg-ledenlijst,,,,,,,,,,,66151813,1851LX,+310495541011,
Steunkousen.nl,steunkousen.nl,Thuiswinkel Waarborg-ledenlijst,,,,,,,,,,,33270688,3313CS,0882452062,
Yoek,yoek.nl,Thuiswinkel Waarborg-ledenlijst,,,,,,,,,,,34224017,1161AK,0203882580,
