bedrijf,domein,vertical,http,final_url,titel,platform,producten,cs_tools,review_tools,marketing,kanalen,talen,markten,vacature_cs,b2b_wholesale,notitie
Cinderella,cinderella.nl,home-textiel,200,https://www.cinderella.nl/,Officiële website van Cinderella | Cinderella,shopify,264,,trustedshops,klaviyo,telefoon|mail|formulier,de|de-be|de-de|de-fr|en|en-be|en-de|en-fr|nl|nl-be|nl-de|nl-fr,12,,,
Van Dyck,vandyck.nl,home-textiel,200,https://www.vandyckshop.nl/,Vandyck bed- en badgoed sinds 1923 | Luxe kwaliteit,shopify,1543,,,klaviyo,telefoon|formulier,,0,carriere-pagina,ja,
Damai,damai.nl,home-textiel,DEAD,,,,,,,,,,,,,
Snurk,snurkbeddengoed.nl,home-textiel,200,https://snurkamsterdam.com/,SNURK | Officiële webshop | SNURK Amsterdam,shopify,741,,reviewsio,klaviyo|gtm|meta-pixel,telefoon|mail|formulier,de-at|de-ch|de-de|en|en-at|en-ca|en-ch|en-de|en-gb|en-us|nl|nl-at|nl-ca|nl-ch|nl-de|nl-gb|nl-us,17,,ja,
M line,m-line.nl,slapen,200,https://blinq.nl/,BLINQ | Waar wij merken zichtbaar maken,,,,,gtm,telefoon|formulier,,0,carriere-pagina,,
Silvana,silvana.nl,slapen,200,https://www.silvana.nl/,Silvana,shopify|magento|shopware,,,feedbackcompany,gtm|meta-pixel,mail|formulier,,0,,,
OFYR,ofyr.com,outdoor-koken,200,https://www.ofyr.com/nl,OFYR - Uitzonderlijke Buitenmomenten,shopify,,,,gtm,formulier,,0,carriere-pagina,ja,
The Bastard,thebastard.com,outdoor-koken,200,https://thebastard.com/,The Bastard Kamado BBQ – Premium keramische houtskool barbecue,shopify,123,,,gtm,formulier,de|en|fr|nl,4,,ja,
Boretti,boretti.com,outdoor-koken,200,https://boretti.com/,Home - Boretti,,,hubspot-chat,,klaviyo|gtm,mail|formulier|chat,be|de|en|fr|nl,5,carriere-pagina,,
Barbecook,barbecook.com,outdoor-koken-be,200,https://www.barbecook.nl/?shpxid=0369b2ea-3633-416d-8d7a-5967f2dca194,Welkom bij Barbecook,shopify,2776,zendesk,yotpo|googlereviews,klaviyo|gtm|meta-pixel,formulier|chat,de|de-at|de-de|de-es|de-it|de-lu|de-pt|de-se|en|en-at|en-de|en-es|en-fr|en-it|en-lu|en-nl|en-pt|en-se|fr|fr-at|fr-es|fr-,34,,ja,
Big Green Egg,biggreenegg.eu,outdoor-koken,200,https://www.biggreenegg.eu:443/nl/,Big Green Egg – The original kamado,,,,,gtm,telefoon|mail|formulier,bg|cs|da|de-at|de-ch|de-de|el|el-cy|en|es|et|fi|fr|fr-be|fr-ch|hr|hu|it|lt|lv|nl|nl-be|no|pl|ro|sk|sl|sq|sv|tr,30,carriere-pagina,ja,
Blond Amsterdam,blond-amsterdam.com,lifestyle,200,https://blond-amsterdam.com/,Blond Amsterdam | Servies &amp; Decor | Officiële Webshop,shopware|bigcommerce,,gorgias,trustpilot|reviewsio|googlereviews,klaviyo|gtm|meta-pixel|tiktok-pixel,formulier|chat,,0,CS-vacature-hint,,
Werk aan de Muur,werkaandemuur.nl,lifestyle,403,https://werkaandemuur.nl/,Solve the puzzle,,,,,,,,0,,,
Dopper,dopper.com,lifestyle,200,https://www.dopper.com/,Just Refill ~ Dopper,,,,googlereviews,,,,0,carriere-pagina,ja,
Koeka,koeka.com,baby,200,https://www.koeka.com/,Koeka - Knuffelzacht - Officiële Webshop,shopware,,,trustedshops,gtm,telefoon|mail,de-de|en-gb|fr-fr|nl-nl,4,carriere-pagina,ja,
Jollein,jollein.com,baby,200,https://jollein.nl/?shpxid=41118755-b151-4a47-b337-f030fbd68d7d,Jollein,shopify,760,,trustedshops,klaviyo,telefoon|mail|formulier,de|de-at|de-be|de-de|de-fr|de-lu|en|en-at|en-be|en-de|en-fr|en-lu|fr|fr-at|fr-be|fr-de|fr-fr|fr-lu|nl|nl-at|nl-be|nl-de|,24,carriere-pagina,ja,
Difrax,difrax.com,baby,200,https://difrax.com/,Difrax | Officiële Website,shopify,215,,judgeme|googlereviews,klaviyo,formulier,en|en-at|en-au|en-be|en-bg|en-de|en-dk|en-ee|en-es|en-fi|en-fr|en-gr|en-hu|en-ie|en-is|en-it|en-lt|en-lu|en-lv|en-no|en-,75,carriere-pagina,ja,
Bebe-Jou,bebejou.com,baby,200,https://bebe-jou.nl/en/,Bebe-jou,,,,,gtm,telefoon|formulier,,0,carriere-pagina,,
Mutsy,mutsy.com,baby,200,https://mutsy.com/,,,,,,,,,0,,,
Joolz,joolz.com,baby,200,https://www.joolz.com/nl/nl/home,Joolz Kinderwagens | Duurzame &amp; Stijlvolle Ontwerpen | Joolz,shopify|salesforce-cc,,zendesk|salesforce-chat|ai-chat,trustpilot|trustedshops|googlereviews,gtm|meta-pixel,chat,de-at|de-de|de-lu|en-at|en-au|en-be|en-de|en-dk|en-es|en-fr|en-gb|en-ie|en-it|en-kr|en-lu|en-nl|en-se|en-us|es-es|fr-be|,27,carriere-pagina,ja,
Greentom,greentom.com,baby,200,https://greentom.com/,The greenest stroller on Planet Earth | Greentom.com,magento,,,yotpo,gtm|meta-pixel,telefoon|mail|formulier,de|es|fr|id|it|nl|pl|ro,8,,,
Babys Only,babysonly.nl,baby,200,https://www.babysonly.nl/,Baby’s Only | Created out of love | Officiële webshop,shopware,,,trustedshops,klaviyo|gtm,telefoon|formulier,,0,,ja,
BoJungle,bojungle.eu,baby-be,200,https://www.bojungle.eu/,Home - BoJungle - Belgian brand since 2012,woocommerce|shopware,,,,gtm,telefoon|mail|formulier,cs|de|el|en|es|fr|it|nl|pl|pt-pt,10,,ja,
Little Indians,little-indians.nl,kinderkleding,200,https://little-indians.nl/,Little indians kinderkleding &ndash; Little Indians,shopify,63,,,klaviyo|gtm,mail|formulier,de|en|nl,3,,ja,
Z8,z8.nl,kinderkleding,200,https://www.z8.nl/,,,,whatsapp-widget,,,whatsapp|chat,,0,,,
Quapi Kidswear,quapi.com,kinderkleding,200,https://quapi.com/,,,,,,,,,0,,,
Levv Label,levvlabel.nl,kinderkleding,DEAD,,,,,,,,,,,,,
Feetje,feetje.nl,kinderkleding,200,https://www.axit.nl/,AXIT Automatisering BV &#8211; Excellent in IT,,,,,gtm,mail|formulier,,0,,,
Noppies,noppies.com,kinderkleding,200,https://www.noppies.com/,Noppies online shop | Pregnancy &amp; kids collection,magento,,trengo|whatsapp-widget,,gtm,mail|whatsapp|chat,de|de-at|de-de|en|fr|fr-be|fr-fr|nl|nl-be|nl-nl,10,,ja,
Dirkje,dirkje.nl,kinderkleding,200,https://www.dirkje.nl/nl/,Dirkje baby- en kinderkleding: maat 44 t/m 116 - Dirkje Baby- &amp; Kidswear,lightspeed|ccvshop,,,,gtm,telefoon|formulier,,0,,ja,
Vingino,vingino.com,kinderkleding,200,https://www.vingino.com/,The making of icons - Vingino,shopify,1846,,trustedshops,klaviyo,mail|formulier,de-de|en|nl,3,carriere-pagina,ja,
BS Toys,bs-toys.com,speelgoed,200,https://www.bs-toys.com/,"BS Toys - Play, Move, Learn!",,,,googlereviews,gtm|meta-pixel,mail|formulier,,0,,ja,
Berg Toys,bergtoys.com,speelgoed,200,https://www.berg.com/,"Premium pedal go-karts, trampolines, ride-ons and playsets | berg.com",,,,trustpilot,,formulier,,0,carriere-pagina,ja,
Trybike,trybike.com,speelgoed,200,https://trybike.com/,,,,,,,,,0,,,
Yarrah,yarrah.com,huisdier,200,https://www.yarrah.com/,Yarrah | Grootste in biologisch hondenvoer en kattenvoer,shopware,,,trustedshops,gtm,telefoon|mail|formulier,de-de|en|en-gb|fr-fr|it-it|nl-nl,6,,,
Renske Petfood,renskepetfood.com,huisdier,DEAD,,,,,,,,,,,,,
Carnibest,carnibest.nl,huisdier,200,https://nutriment.nl/,Nutriment-NL | Nutriment NL,shopify,123,zendesk,trustpilot,klaviyo|gtm,telefoon|mail|formulier|chat,,0,,ja,
Prins Petfoods,prinspetfoods.nl,huisdier,403,https://prinspetfoods.nl/,Just a moment...,,,,,,,,0,,,
Farm Food,farmfood.nl,huisdier,403,https://farmfood.nl/,403 Forbidden,,,,,gtm,telefoon|formulier,cs-cz|da-dk|de-de|el|en-gb|es-es|fi|fr-fr|hu-hu|it-it|lt|nb-no|nl-be|nl-nl|pl-pl|pt-pt|rs-sr|se-sv|sk-sk|sl-sl,20,carriere-pagina,ja,
Beeztees,beeztees.nl,huisdier,200,https://www.beeztees.nl/,Home - Beeztees,woocommerce,,,googlereviews,gtm|meta-pixel,formulier,,0,carriere-pagina,ja,
Xtorm,xtorm.eu,elektronica,200,https://www.xtorm.eu/,Xtorm | | Power Banks | Solar Chargers | Power Stations &ndash; Xtorm EU,shopify,161,ai-chat,judgeme|googlereviews,klaviyo|gtm|meta-pixel,mail|formulier|chat,da|da-dk|de|de-de|en|en-dk|fr|fr-be|fr-fr|nl|nl-nl,11,carriere-pagina,ja,
Fresh n Rebel,freshnrebel.com,elektronica,200,https://freshnrebel.com/,Fresh &#039;n Rebel | On-trend mobile Must-Haves | 2 years warranty,shopware,,zendesk|re-amaze,trustpilot,klaviyo,chat,de-de|en|en-gb|es-es|fr-be|fr-fr|it-it|nl-be|nl-nl|pl-pl|pt-pt,11,,ja,
Urban Arrow,urbanarrow.com,mobiliteit,200,https://urbanarrow.com/,Urban Arrow,,,,trustpilot,gtm,formulier,de|en|en-us|fr|nl,5,,ja,
QWIC,qwic.nl,mobiliteit,200,https://qwic.nl/,"QWIC elektrische fietsen | Design, kwaliteit en comfort",woocommerce,,,,gtm,mail|formulier,,0,,ja,
Babboe,babboe.nl,mobiliteit,200,https://www.babboe.nl/,"Bakfietsen voor iedereen: familie, hond, zakelijk | Babboe",magento,,,trustedshops,gtm|meta-pixel,formulier,at|de|en|fr|fr-be|nl|nl-be,7,carriere-pagina,ja,
Roetz Bikes,roetz-bikes.com,mobiliteit,200,https://roetz-bikes.com/nl_NL/,Roetz Bikes | Circulaire &amp; Duurzame Fietsen en E-bikes,,,,trustpilot,gtm|meta-pixel,,en|nl,2,carriere-pagina,ja,
Lekker Bikes,lekkerbikes.com,mobiliteit,200,https://lekkerbikes.com/,Premium Dutch eBikes | Shop now | LEKKER Bikes &ndash; Lekker Bikes,shopify,46,freshdesk,trustpilot,klaviyo,formulier|chat,de-de|en|en-at|en-be|en-de|en-dk|en-es|en-fr|en-it|en-lu|en-pt|en-se|nl,13,,ja,
Veloretti,veloretti.com,mobiliteit,200,https://www.veloretti.com/nl,"Veloretti | Elektrische, Stads- &amp; Kinderfietsen",shopify,,gorgias,,klaviyo|gtm|meta-pixel|tiktok-pixel,chat,,0,carriere-pagina,,
Phatfour,phatfour.nl,mobiliteit,200,https://www.phatfour.com,Fatbike kopen? Ontdek de kracht van Phatfour,,,,trustpilot,gtm,telefoon|mail,de|en|fr|nl,4,carriere-pagina,ja,
Nomad,nomad.nl,outdoor,200,https://nomad.nl/,Human verification,,,,,,,,0,,ja,
Yogisha,yogisha.nl,sport,200,https://www.yogisha.nl/nl/,Yogisha - de yogawinkel van Nederland - Yogisha,lightspeed|ccvshop,,zendesk,kiyoh|klantenvertellen,gtm,telefoon|formulier|chat,,0,carriere-pagina,ja,
YourSurprise,yoursurprise.nl,personalisatie-print,200,https://www.yoursurprise.nl/,Gepersonaliseerde Cadeaus met Foto en Naam | YourSurprise,,,,googlereviews,gtm,telefoon|mail|formulier,cs-cz|da-dk|de-at|de-ch|de-de|de-lu|en-au|en-ca|en-gb|en-ie|en-is|en-nl|en-sg|en-us|es-es|fi-fi|fr-be|fr-ca|fr-ch|fr-fr|,32,carriere-pagina,ja,
Kaartje2go,kaartje2go.nl,personalisatie-print,200,https://www.kaartje2go.nl/,Kaartje2go | Gepersonaliseerde kaarten &amp; cadeaus,,,helpscout,googlereviews,klaviyo|gtm,telefoon|mail|chat,de|nl-be|nl-nl,3,carriere-pagina,ja,
Fotofabriek,fotofabriek.nl,personalisatie-print,200,https://www.fotofabriek.nl/,"Fotofabriek: fotoboeken, wanddecoraties en meer...",,,,feedbackcompany,gtm,telefoon|mail|formulier,,0,carriere-pagina,,
Charlie Temple,charlietemple.com,brillen,200,https://www.brillen24.nl/acties/collectie/charlie-temple?source=charlietemple&utm_source=charlietemple,"Welkom, Charlie Temple! | Brillen24 NL",,,,trustpilot|googlereviews,,telefoon|mail|formulier,,0,,,
Eyelove Brillen,eyelovebrillen.nl,brillen,200,https://www.eyelovebrillen.nl/,Eyelove Brillen &#8211; Een complete bril op iedere sterkte!,woocommerce,,whatsapp-widget,trustpilot|googlereviews,gtm|meta-pixel,mail|whatsapp|chat,fr-fr|nl-nl,2,carriere-pagina,ja,
Polette,polette.com,brillen,200,https://www.polette.com/nl/,,,,livechat,,gtm,chat,,0,,,
Somnox,somnox.com,health-tech,200,https://somnox.com/,"Somnox 2 Breathe &amp; Sleep Companion | Breathe Better, Sleep Better",woocommerce,,intercom|whatsapp-widget,trustpilot|googlereviews,klaviyo|gtm,telefoon|mail|whatsapp|formulier|chat,en|nl,2,carriere-pagina,,
Plantsome,plantsome.nl,planten,200,https://www.plantsome.nl/,Plantsome | Spetterende planten online bestellen,shopify,929,gorgias,kiyoh,klaviyo|gtm|meta-pixel,mail|chat,de-de|en-ca|en-us|nl|nl-be|nl-nl,6,,ja,
Bloomon,bloomon.nl,planten,200,https://www.bloomon.nl/,bloomon bloemenbezorging | Bloemen en cadeaus,,,zendesk,trustpilot|trustedshops,gtm|tiktok-pixel,chat,,0,,,
Sissy-Boy,sissy-boy.nl,fashion,200,https://www.sissy-boy.com,Home | Sissyboy,,,zendesk|freshdesk|whatsapp-widget,trustpilot|kiyoh,,telefoon|mail|whatsapp|chat,,0,CS-vacature-hint,ja,
Denham,denhamthejeanmaker.com,fashion-denim,200,https://www.denham.com/,DENHAM the Jeanmaker - Premium Denim for Men &amp; Women,shopify,,whatsapp-widget,,klaviyo,mail|whatsapp|chat,,0,carriere-pagina,,
Patta,patta.nl,fashion-streetwear,200,https://patta.nl/,Patta Exclusive Sneakers,shopify,773,,googlereviews,klaviyo|gtm|shopify-plus-hint,,en-ac|en-ae|en-af|en-au|en-be|en-br|en-ca|en-ch|en-de|en-dk|en-es|en-fi|en-fr|en-gb|en-hk|en-ie|en-il|en-in|en-it|en-jp|,29,carriere-pagina,,
America Today,americatoday.nl,fashion,200,https://www.america-today.com/nl-nl,America Today online shop | Iconic American since 1989,shopware|salesforce-cc,,,trustedshops,,telefoon|mail,de-de|en-be|en-de|en-nl|fr-be|nl-be|nl-nl,7,,,
Coolcat,coolcat.nl,fashion,200,https://www.wehkamp.nl/inspiratie/merken/coolcat/?redirected_from=coolcat.nl,"Coolcat - Be heard, make noise | Wehkamp",,,,googlereviews,gtm|meta-pixel,,,0,carriere-pagina,ja,
Score,score.nl,fashion,200,https://score.nl/password,SCORE,shopify,,,,,formulier,de|en|fr,3,,ja,
Kings of Indigo,kingsofindigo.com,fashion-denim,200,https://kingsofindigo.com/,Kings Of Indigo - Sustainable Denim Brand from Amsterdam,shopify,358,,googlereviews,klaviyo,formulier,de|de-at|de-ba|de-be|de-bg|de-cy|de-cz|de-ee|de-es|de-fi|de-fr|de-gr|de-hr|de-hu|de-ie|de-it|de-lt|de-lu|de-lv|de-mc|de-,56,carriere-pagina,ja,
Bolsius,bolsius.com,home,200,https://www.bolsius.com/,Home | Bolsius International BV,,,,,gtm,telefoon|mail|formulier,de|en|fr|fr-be|it|nl|nl-be|pl|sv,9,carriere-pagina,ja,
Brinker Carpets,brinkercarpets.com,home,200,https://forsale.dynadot.com/brinkercarpets.com?drefid=2071,For Sale Domain: brinkercarpets.com,,,,trustpilot|googlereviews,gtm,,ar|ar-sa|de|de-de|en|en-us|es|es-es|fr|fr-fr|hi|hi-in|id|id-id|it|it-it|ja|ja-jp|ko|ko-kr|pt|pt-pt|ru|ru-ru|sr|sr-rs|zh|,28,,,
Lucide,lucide.com,verlichting,200,https://www.lucide.com/nl/,Lucide verlichting - Illuminates your world.,,,,trustpilot,gtm,formulier,de-de|en-gb|es-es|fr-be|nl-be|nl-nl,6,,ja,
Steinhauer,steinhauer.eu,verlichting,200,https://trusted.domainseller.site/steinhauer.eu,steinhauer.eu is for sale!,,,,trustpilot,,,,0,,,
Royal VKB,royalvkb.com,keuken,200,https://www.royalvkb.com/,Brandloyalty - Royal VKB,,,,,,mail,en|fr|nl,3,,,
BK Cookware,bkcookware.nl,keuken,200,https://bk.nl/,BK.nl &ndash; BK NL,shopify,433,,trustpilot,klaviyo,mail|formulier,,0,,ja,
Sola,sola.nl,keuken,200,https://sola.nl/,"Sola: Bestek, pannen en keukenmessen voor horeca en thuis",woocommerce,,crisp,,gtm,formulier|chat,,0,carriere-pagina,,
Tony's Chocolonely,tonyschocolonely.com,food,200,https://tonyschocolonely.com/,Tony&#39;s Chocolonely Global &ndash; Tony’s Chocolonely Global,shopify,16,,,klaviyo,formulier,da-dk|de-at|de-de|en|en-dk|en-es|en-fr|en-gb|en-jp|en-nl|en-us|es|es-es|fi-fi|fr-be|fr-fr|ja-jp|nl-be|nl-nl|no-no|sv-se,21,,,
Nomad Sports,nomadsports.nl,sport,DEAD,,,,,,,,,,,,,
Yoursurprise BE,yoursurprise.be,personalisatie-print,200,https://www.yoursurprise.be/,Gepersonaliseerde Cadeaus met Foto en Naam | YourSurprise,,,,googlereviews,gtm,telefoon|mail|formulier,cs-cz|da-dk|de-at|de-ch|de-de|de-lu|en-au|en-ca|en-gb|en-ie|en-is|en-nl|en-sg|en-us|es-es|fi-fi|fr-be|fr-ca|fr-ch|fr-fr|,32,carriere-pagina,ja,
Loavies BE,loavies.be,fashion-dames,200,https://www.loavies.com/nl/,LOAVIES | Shop Fashion Online,,,zendesk,trustpilot,gtm|meta-pixel,mail|chat,en|es|fr|nl,4,carriere-pagina,ja,
Bamboo Bamboo,bamboobamboo.nl,home,400,https://bamboobamboo.nl/,400 Bad Request,,,,,,,,0,,,
Sunny Stuff,sunnystuff.nl,lifestyle,DEAD,,,,,,,,,,,,,
Studio Ins en Outs,studioinsenouts.nl,lifestyle,200,https://www.studioinsenouts.nl/,Geef je dierbare foto&#39;s een mooie plek in een persoonlijk plakboek &ndash; Studio Ins ,shopify,960,,webwinkelkeur,gtm,formulier,de-de|en-us|fr-fr|nl|nl-us,5,,,
Meraki,merakiliving.nl,home,DEAD,,,,,,,,,,,,,
Kekkels,kekkels.nl,kinderkleding,DEAD,,,,,,,,,,,,,
Nixnut,nixnut.nl,kinderkleding,200,https://nixnut.nl/,Nixnut,shopify,209,whatsapp-widget,,klaviyo,mail|whatsapp|formulier|chat,en|nl,2,,ja,
Riffle Amsterdam,riffle-amsterdam.com,kinderkleding,DEAD,,,,,,,,,,,,,
Frankie and Liberty,frankieandliberty.com,kinderkleding,200,https://frankieandliberty.com/,Homepage AW24 - Frankie and Liberty,woocommerce,,,googlereviews,gtm|meta-pixel,formulier,,0,,ja,
Retour Jeans,retourjeans.com,kinderkleding,200,https://www.retourjeans.com/,Retour Jeans® kinderkleding | De officiële shop - Retour Jeans,woocommerce,,,,klaviyo,mail|formulier,de|de-de|en|en-gb|nl|nl-nl,6,carriere-pagina,ja,
Raizzed,raizzed.com,kinderkleding,200,https://raizzed.com/,"Style isn’t just about what you wear, it’s how you wear it - Raizzed",shopify,408,,trustedshops,klaviyo,mail|formulier,de|en|nl,3,,ja,
Indian Blue Jeans,indianbluejeans.com,kinderkleding,200,https://indianbluejeans.com/,"Indian Blue Jeans | No Guts, No Stories!",shopify,80,,,klaviyo|gtm,mail|formulier,,0,carriere-pagina,ja,
Blue Rebel,bluerebel.nl,kinderkleding,200,https://retailtribes.com/,Retail Tribes- Retail Tribes,,,,,gtm,,de|en|nl|ru,4,,ja,
Someone Awesome,someone-awesome.com,kinderkleding,DEAD,,,,,,,,,,,,,
Tumble N Dry,tumblendry.com,kinderkleding,200,https://tumblendry.com/,Tumble `N Dry Officiële Online Winkel | Kinderkleding - Tumble N Dry,,,,,klaviyo|gtm,telefoon|mail,,0,,ja,
Moodstreet,moodstreet.nl,kinderkleding,200,https://moodstreet.nl/,Moodstreet Kinderkleding,shopify,228,,webwinkelkeur,klaviyo|shopify-plus-hint,mail|formulier,de|en|en-be|fr|nl|nl-be,6,,ja,
Koko Noko,kokonoko.nl,kinderkleding,200,https://www.koko-noko.com/nl/,Koko Noko kinderkleding | Officiële Online Shop,lightspeed|ccvshop,,,yotpo,gtm|meta-pixel,telefoon|formulier,,0,carriere-pagina,ja,
Vinrose,vinrose.nl,kinderkleding,200,https://nicsell.com/nl/domain/vinrose.nl,Bied nu op het domein vinrose.nl | nicsell,,,,,,formulier,de|en|es|fr|it|nl,6,,,
Renske,renske.nl,huisdier,200,https://www.renske.com/nl/,Hoge kwaliteit natuurlijke voeding voor honden en katten | Renske,,,,,gtm,mail|formulier,de|en|fr|nl|pl,5,carriere-pagina,,
Pure and Original,pure-original.com,verf,200,https://www.pure-original.com/,"Pure &amp; Original verf | Duurzame kalkverf, krijtverf en betonlook verf",,,,,gtm,formulier,de|en|es|fr|nl|no,6,,ja,
Painting the Past,paintingthepast.nl,verf,403,https://paintingthepast.nl/,403 Forbidden,,,,,,,,0,,,
Carte Colori,cartecolori.nl,verf,200,https://cartecolori.nl/,Carte Colori is under construction,,,,,,,,0,,,
Floer,floer.nl,vloeren,200,https://floer.nl/,Floer - Premium vloeren voor een stijlvol en duurzaam interieur,woocommerce,,,googlereviews,klaviyo|gtm|meta-pixel|tiktok-pixel,mail|formulier,,0,carriere-pagina,ja,
Origin Wallcoverings,originwallcoverings.com,behang,200,https://www.originwallcoverings.com/,Origin - luxury wallcoverings,magento|shopware,,tawk,feedbackcompany,gtm|meta-pixel,mail|chat,da|de-de|en|es-es|fr-fr|it-it|nl-nl|sv,8,carriere-pagina,ja,
Knit Factory,knitfactory.nl,home-textiel,200,https://www.knitfactory.com/nl/,Knit Factory: Woonaccessoires &amp; Mode van Nederlandse Bodem,shopware,,,trustedshops,klaviyo|gtm,telefoon|formulier,de|en|fr|nl,4,carriere-pagina,ja,
PLNTS,plnts.com,planten,200,https://plnts.com/nl/,Alles wat je nodig hebt voor je eigen groene jungle! | PLNTS.com,,,,googlereviews,gtm,,,0,carriere-pagina,ja,
Osaka,osakaworld.com,sport-hockey,200,https://osakaworld.com/en-nl,Osaka World,shopify,1914,gorgias,judgeme|yotpo|googlereviews,klaviyo,formulier|chat,de|de-de|en|en-de|en-es|en-fr|en-gb|en-ie|en-nl|es|es-es|fr|fr-fr|it|nl|nl-nl,16,carriere-pagina,ja,
Brabo Hockey,brabohockey.com,sport-hockey,200,https://brabohockey.com/,Brabo Hockey,shopify,324,,judgeme|googlereviews,klaviyo,mail|formulier,en|nl,2,,,
Indian Maharadja,indianmaharadja.com,sport-hockey,200,https://www.indianmaharadja.com/,Home page,magento|shopware,,,,gtm,formulier,,0,carriere-pagina,ja,
Reece Australia,reece-australia.com,sport-hockey,DEAD,,,,,,,,,,,,,
Poederbaas,poederbaas.com,sport-wintersport,200,https://poederbaas.com/,"Poederbaas, new outdoor collection!",shopify,510,,judgeme|googlereviews,klaviyo,formulier,en|en-at|en-be|en-bg|en-cy|en-cz|en-de|en-dk|en-ee|en-es|en-fi|en-fr|en-gr|en-hr|en-hu|en-ie|en-it|en-lt|en-lu|en-lv|en-,54,,ja,
Jobe Sports,jobesports.com,sport-watersport,200,https://www.jobesports.com/nl/,Jobe® Watersport | Officiële Website en Shop | Jobesports.com,,,,,,,da|de|en|en-au|en-gb|en-nz|es|fr|it|nl|sv,11,carriere-pagina,ja,
Harrys Horse,harryshorse.com,paardensport,200,https://www.harryshorse.com/nl,Harry’s Horse | Alles voor paard en ruiter,,,,,gtm,formulier,de|en|fr|nl,4,,ja,
BR Equestrian,br-equestrian.com,paardensport,200,https://br.nl/nl/,BR® Equestrian Equipment - Welkom bij BR®,prestashop,,,trustedshops,gtm|meta-pixel,telefoon|formulier,de|de-de|en|en-gb|fr|fr-fr|nl|nl-nl,8,carriere-pagina,,
QHP,qhp.nl,paardensport,200,https://www.qhp.nl/?___store=qhp_nl_NL&___from_store=qhp_en_GB,Kleurrijke en trendy artikelen voor paard en ruiter | QHP,magento,,,,gtm,telefoon|mail|formulier,,0,carriere-pagina,ja,
Kentucky Horsewear,kentuckyhorsewear.com,paardensport-be,200,https://kentuckyhorsewear.com/,,,,,,,,,0,,,
Wolplein,wolplein.nl,hobby,200,https://www.wolplein.nl/,Wolplein | Alles voor Breien en Haken &ndash; Wolplein.nl,shopify,3000,whatsapp-widget,trustedshops,klaviyo,telefoon|mail|whatsapp|formulier|chat,de-at|de-de|en-bg|en-cz|en-dk|en-ee|en-es|en-fi|en-fr|en-gr|en-hr|en-hu|en-ie|en-it|en-lt|en-lu|en-lv|en-pl|en-pt|en-ro|,25,carriere-pagina,ja,
Scheepjes,scheepjes.com,hobby,200,https://www.scheepjes.com/nl/,Scheepjes - Inspiration in every ball of yarn,,,,,gtm|meta-pixel,mail,en|nl,2,,,
999 Games,999games.nl,spellen,200,https://www.999games.nl:443/,"999 Games - Ontdek de wereld van bordspellen, kaartspellen en meer!",,,,yotpo|googlereviews,klaviyo|gtm,formulier,,0,carriere-pagina,ja,
Born Sportscare,born.eu,sportvoeding,200,https://born.eu/,Home | Born Superior Sportscare,,,,,gtm,telefoon|mail,,0,,,
Etixx,etixx.com,sportvoeding-be,200,https://etixx.com/,,,,,,,,,0,,,
Maxim Sports Nutrition,maximsport.com,sportvoeding,200,https://maximsport.com/,,,,,,,,,0,,,
Podobrace,podobrace.nl,gezondheid,200,https://www.podobrace.nl/,"Podobrace.nl | Braces, bescherming en medische hulpmiddelen",,,trengo|whatsapp-widget,trustedshops,gtm|tiktok-pixel,telefoon|mail|whatsapp|formulier|chat,nl-be|nl-nl,2,carriere-pagina,,
Medisol,medisol.nl,gezondheid,200,https://www.medisol.nl/,Medisol - Medisol Saving Lives,woocommerce,,,googlereviews,,telefoon|formulier,en|en-gb|nl,3,carriere-pagina,,
CanvasCompany,canvascompany.nl,personalisatie-print,200,https://www.canvascompany.nl/,Foto Op Canvas » Hoge Korting | Snelle levering!,magento,,zendesk|hubspot-chat,kiyoh|trustedshops,gtm|meta-pixel,chat,nl-nl,1,,,
Basil,basil.com,fiets-accessoires,200,https://www.basil.com/nl/,Home | Basil,,,,feedbackcompany,gtm|meta-pixel,formulier,de-de|en-us|fr-fr|nl-nl,4,carriere-pagina,ja,
Santos Bikes,santosbikes.com,mobiliteit,200,https://santosbikes.com/nl/,Santos Bikes - Vakantiefietsen | E-bikes | Bikepacking,,,,,gtm,mail|formulier,en-gb|nl-nl,2,carriere-pagina,ja,
Brouwerij het IJ,brouwerijhetij.nl,food,DEAD,,,,,,,,,,,,,
Uiltje Brewing,uiltjebrewing.com,food,200,https://uiltjebrewing.com/,F*cking goed bier brouwen | Uiltje Brewing Company,shopware|bigcommerce,,,trustedshops,gtm,telefoon|mail|formulier,en|nl,2,,ja,
Bobbys Dry Gin,bobbysdrygin.com,food,200,https://bobbysdrygin.com/,Homepage - Bobby&#039;s Schiedam Dry Gin - East meets West -,woocommerce,,,,gtm|meta-pixel,formulier,,0,,ja,
Rutte Distillery,rutte.com,food,200,https://www.rutte.com/,Rutte – Botanical Distillers since 1872 &ndash; Distilleerderij Rutte,shopify,30,,googlereviews,gtm,telefoon|mail|formulier,en|nl-ac|nl-ad|nl-ae|nl-af|nl-ag|nl-ai|nl-al|nl-am|nl-ao|nl-ar|nl-at|nl-au|nl-aw|nl-ax|nl-az|nl-ba|nl-bb|nl-bd|nl-be|nl-,237,,,
